Прямой обмен товарами без денежных расчётов?; бартер
Швейцарец Шлейер назвал свой искусственный язык словом, образованным из искажённых английских слов “мир” и “говорить”. Как он назывался?; волапюк
Эта ягода растёт на Кавказе и в Крыму; ирга
Этим словом называют класс речных мелкосидящих боевых кораблей, а также то, на что мы увлечённо смотрим, музыканты слушают, а англоязычные листают. Что это?; монитор
Это животное ещё называют сернобык; орикс
Эту геометрическую фигуру знает каждый из нас. Впервые её название появилось на страницах журнала для мужчин “Аргози” в 1964 году. Назовите первое слово из названия этой фигуры.; Бермудский
Японский лётчик-самоубийца во 2-й мировой войне?; камикадзе
Японский писатель, автор новеллы “Расёмон”; Акутагава
Говорун из “Сказки о тройке” братьев Стругацких, любивший говорить: “Мы с тобой одной крови, ты и я!”; клоп
Говорят, что Полидамант погиб смертью мушкетёра. А как звали этого мушкетёра?; Портос
Говорят, что он заработал своё состояние благодаря грызуну и трём молодым парнокопытным. А кто он?; Дисней
Город – мечта чеховских трёх сестёр; Москва
Город среди озёр в Литве; Тракай
Водное пространство, над которым Е. Примаков дал повод рождению шутки: “Редкий премьер долетит до средины Атлантики!”; океан
Возвышенная площадка в церкви перед алтарём; амвон
Вот какой совет дает эстрадная звезда Лев Лещенко, когда его спрашивают о том, как похудеть: “Закройте ...!”; рот
Впервые они появились в Нюрнберге около 1500 г. Их называли нюрнбергские яйца. О чём идёт речь?; часы
Вступительная часть развёрнутого па-де-де в балете; антре
“Cнaчaлa былo cлoвo. Пoтoм пoявилocь ...”.; молчание
“Будь ...!” (знаменитый американский врач, “фигурирующий” в этой расхожей рекомендации не волноваться); Спок
“Взлётная полоса” для гоголевской Солохи; труба
“Горловая пробка” при сильном волнении?; ком
“Дикий мальчишеский слышится ...! «Тридцать седьмой!» – ухмыльнулся старик” (вставь недостающее слово в детскую страшилку); крик
“Команда” ПЕРВОГО, построенная по десятичной системе, была огромна и занималась разрушением, “команда” ВТОРОГО была значительно меньше и делала прямо противоположное. Кто описал ВТОРОГО?; Гайдар
В др.-китайск. мифологии чудовище в виде быка; куй
В древнегреческой мифологии: бог войны; Арес
В египетской мифологии богиня-львица; Мент
В журнале “И то и сиё” за 1769 год можно прочитать: “Он выступал замысловато и нёс ... , а по-русски подсолнечник или тенник, кто как изволит”. Что нёс прохожий?; зонтик
В игре в белот: игрок не взял ни одной взятки; капо
В какой реке произвёл омовение человек, которого в США называют Джон Баптист?; Иордан
В последнее время, на некоторых туристских картах, для удобства пеших прогулок, изолинии равноудалённости от отеля отмечаются не в метрах или километрах, а в чём? “в ...”; часах
Валюта из к/комедии Данелии “Кин-дза-дза!”; чатл
“Майский день”, “Ноябрьский Чарли”. Закончите ряд самым известным. (ответ лат. буквами); sos
“Обувной” синоним тупицы?; лапоть
“Он всегда будет тем, кто есть, ослепительно ярким и радостным криком на весь мир: вот она Русь, вот каков её народ...” О ком так сказал Максим Горький?; Шаляпин
“Послушай дело, Кузя! А Кузя пьян, как ...”. Вставьте в поговорку пропущенное слово; зюзя
“Ночной волк”; рокер
“Очистительный” налог, предписанный Кораном; закат
(“победитель”), в джайнск. миф. титул тиртханкаров; джина
(Ирис) В греческой мифологии богиня радуги, вестница Зевса и Геры; Ирида
(Канн) Франция (город в Европе); Канны
(Канны) Франция, порт (город в Европе); Канн
(Коул) Американский биохимик; Коле
(Куявия, Куябия) Один из трех центров Др. Руси; Куяба
(Лиепиня) Сов. физикохимик, Герой Соцтруда; Лепинь
(Мoккa) Йeмeн (гopoд в Aзии); Моха
(Моха) Йемен (город в Азии); Мокка
(Ниппон) Назв. Японии на яп. языке; Нихон
(Нихон) Назв. Японии на яп. языке; Ниппон
Тюрк. – толстая веревка, канат?; аркан
(айтыс) Песня-импровизация в форме диалога-состязания двух акынов; айтыш
(айтыш) Песня-импровиз. в форме диалога-состяз. двух акынов; айтыс
(арчинцы) Народ в Дагестане; аршиштиб
(аршиштиб) Народ в Дагестане; арчинцы
(ива белая) Деревья и кустарники; ветла
(итальянская сосна) Хвойное растение; деревья и кустарники; пиния
(кайрак) Каменн. кастаньеты у народов Ср. Азии; кайрок
(канун) Струнный щипковый музыкальный инструмент; канон
(капли) Элементы античной архитектуры в виде маленьких усеченных конусов, прикрепляемых к нижней поверхности мутулов; гутты
(кария) Дерево сем. ореховых; гикори
(каросса) Кожаный плащ у кочевников Ю. Африки; каросе
(касатик) Многолетнее трав. растение; ирис
(катран) Растение сем. крестоцветных; крамбе
(керш) Разменная монета Саудовской Аравии; куруш
(кетсаль) Птица отр. трогонов, свящ. птица майя и ацтеков; квезал
(кешью) Деревья и кустарники; акажу
(кивот) Шкафчик для икон; киот
(кирка) Лютеранская церковь; кирха
(кит.) Меч с изогнутым однолезвийным клинком, расширяющимся к концу. Имеет ярко выраженный скос обуха. К головке рукояти крепится темляк; шоудао
(китайский ясень) Деревья и кустарники; айлант
(кичка) Стар. рус. головной убор замужней женщины; кика
(клуатар) Крытая галерея в церкви; клуатр
(клюворылый окунь) Рыба сем. скорпеновых; клювач
(кобыз) Казах. струнный муз. инструмент; кобызу
(колесница) Индийский прообраз шахматной ладьи; ратха
(комора) Хоз. помещение в Вост. Европе; камора
(краснотал) Вид деревьев и кустарников рода ива; шелюга
(крылоорешник) Деревья и кустарники; лапина
(кувшинка) Водное трав. растение; нимфея
(кумирня) Языческая молельня; капище
(кумкват) Вечнозеленое, декоративны, плоды используют для варенья и цукатов; деревья и кустарники; кинкан
(куруш) Разменная монета Саудовской Аравии; керш
(кутья) Коливо – вареная пшеница с медом или сахаром; кутия
(Куябия, Куяба) Один из трех центров Др. Руси; Куявия
(Куябия, Куяба) Один из трех центров Др. Руси; ист. обл. Польши; Куявия
(лавсония) Раст. сем. дербенн., куст., дек., красильное (хна); хенна
(лысый барсук) Млекопитающее сем. куньих; медоед
(маклак) Бугор в переднебоковой части крупа лошади; маклок
(мандибула) Первая или верхняя пара челюстей у ракообразных, многоножек и насекомых; жвало
(маслина) Плодовое растение; деревья и кустарники; олива
(мациони) Кисломолочный продукт – грузинская простокваша; мацони
(мирт) Вечнозеленое дерево; мирта
(мирт) Вечнозеленое растение; деревья и кустарники; мирта
(мирта) Вечнозеленое растение; деревья и кустарники; мирт
(Моанда) Марганцевое месторождение в Габоне; Мванда
(могур) Старинная золотая четырехугольная монета Индии; мохур
(мослак) Большая кость (преимущ. о бедренной); мосол
(мосол) Большая кость (преимущ. о бедренной); мослак
(мохур) Старинная золотая четырехугольная монета Индии; могур
(парка, порга) Верх. зимн. одежда из оленьих шкур в Сев. Сиб.; порхы
(парка, порхы) Верх. зимн. одежда из оленьих шкур в Сев. Сиб.; порга
Балтийская селёдка; салака
Банковский термин, о содержании которого говорят: “Берешь чужие, отдаешь свои!”; кредит
Бантик, сердечко, лилия, листик, кошелёчек, узелок... Назовите рекордсмена по уничтожению этого; Карлсон
Басня И. Крылова; ворона
Басня И. А. Крылова; оракул
Басня И. Крылова; стих. А. Пушкина; туча
Бахчевое растение; арбуз
Безворсовый ковёр; палас
Белая птаха, много веков нехотя “поставлявшая” перья для плюмажей; цапля
Бессмертную фразу “Пилите, Шура, пилите” в романе “Золотой теленок” произнес?; Паниковский
Библейский рассадник разврата, уничтоженный “огненным дождём”; Содом
Биржевой посредник между покупателем и продавцом; брокер
Биржевый посредник при заключении торговых сделок; брокер
Блажен, кто смолоду был молод, блажен, кто вовремя созрел – это из поэмы ... ?; Евгений Онегин
Блестящий оратор и публицист; трибун
Блюда, подаваемые между главными блюдами или перед десертом; антреме
Бог плодородия у славян; Ярила
Богат и славен Кочубей – утверждал Пушкин в поэме ... ?; Полтава
Богатая торжественная трапеза; пир
Богиня безумия; Ата
Божество в Иберии (Восточная Грузия) до христианства; Гаими
Большая всеядная птица с блестящим черным оперением; ворон
Большая толстая шаль, используеая также как одеяло; плед
Большой кусок; кус
Борец с несовершенством?; идеал
Борец со щетиной; бритва
Брань с упоминанием близких родственников; мат
Бриджит Бардо, совершившая переворот в образе женщины, стеснялась публично демонстрировать одну часть тела. Что это?; язык
Бронзовая монета в Византии 9–10 вв.; обол
Буддийский монах?; бонза
Будь проклят, дьявольский листок! // Ты был всегда со мной жесток. – Оригинал этого короткого стихотворения Роберта Бернса сохранился до сих пор. Он написан на ... ?; банковском билете
Буква (устаревшее)?; литера
Булочка из особого теста; слойка
Бумажные деньги во время Вел. франц. рев. в к. 19 в. (ответ во мн. ч.); ассигнаты
Бытовое название женской блузки в стиле муж. сорочек; батник
В 1053 году сын Ярослава Мудрого получил от византийского императора весьма тяжёлый дар. А как звали этого императора?; Константин Мономах
В 1814 году английский мореплаватель Мэтью Флиндерс, обследовав одну из стран южного полушария, изменил её название и окрестил её... А впрочем, как он её окрестил?; Австралия
В 1913 году русские лётчики получили то, что с 1935 по 1989 год было непременным элементом формы советского солдата. Назовите это.; пилотка
В Голландии на рекламных роликах часто присутствует изображение зубной щётки. Что рекламируется в таких передачах?; сладости
В Ср. Азии так называют повозку на 2 больших колёсах; арба
В Швеции это происходит приблизительно в 18 часов, в Швейцарии – в 19, во Франции и Германии скорее в 20 часов. И так далее – чем южнее, тем позже. О чём идёт речь?; ужин
В американском фильме русского режиссера: Кэрт Рассел – Кэш, С. Сталлоне – ...; Танго
В армиях 18–19 в. солдат подразделений пехоты и лёгкой кавалерии, которые формировались из лучших стрелков и действовали в рассыпном строю; егерь
В арх.: вид облома; скоция
В биологии: то же, что финка; финна
(саронг) Муж. и жен. одежда народов Ю.-В. Азии; сарунг
(сарунг) Муж. и жен. одежда народов Ю.-В. Азии; саронг
– Желающие на кирпичный завод есть? – Пожалуйста, огласите весь ...! (Эпизод из “Приключений Шурика”); список
18-й президент США; Грант
2-й президент США; Адамс
3,14...; пи
38-й президент США; Форд
41-й президент США; Буш
5-й президент США; Монро
8, 2, 9, 1, 5, 7, 3, 4, 6. Определите правило, по которому расположены эти числа; алфавит
Taнeц, включaeт 5–6 фигyp, пooчepёднo иcпoлняeмыe 4 пapaми тaнцyющиx. Pacпpocтpaнён y мнoгиx нapoдoв Eвpoпы.; кадриль
А у индейцев все девки – ... (Н. Фоменко)?; красные
Абхазская флейта; аюмаа
Автомобильный суфлёр; сапун
Автор “Весёлой вдовы”; Легар
Автор фразы “Воспитаем бабу Ягу в своем коллективе”; Огурцов
Автор фразы “Ребята, давайте жить дружно”?; Леопольд
Американский драматург, автор “Проснись и пой!”, “Золотой мальчик”; Одетс
Американский изобретатель пулемёта, имя Хайрем; Максим
Американский кинорежиссер, которого имел в виду Владимир Владин: “Какой ужас! – воскликнул Альфред ... , просмотрев фильм Одесской киностудии”; Хичкок
Американский ученый, лауреат Нобелевской премии по физиологии и медицине; Очоа
Американский философ, основоположник современной модальной логики?; Льюис
Анг. комп-тор, ист-к муз., орг-ст; Берни
Английский композитор и дирижёр?; Блисс
Ансамбль из восьми музыкантов; октет
Античный учёный, измеривший высоту древнеегипетских пирамид по их тени; Фалес
Аподитерий, фригидарий, тепидарий, кальдарий, гипокауст, пропнигий. Как мы зовём всё это вместе?; термы
Аппарат, агрегат; автомобиль; машина
Аппаратура, которая позволяла партизанам держать связь с “большой землёй”; рация
Арм. писатель (роман “Завтра”); Авакян
Арм. писатель; город в Армении; Абовян
Админ.-территор. единица в Иране; остан
Актер, снявшийся в фильмах “Смешная девчонка”, “Хэлло, Долли!”, “Золото Маккены” и др.; Шариф
Алжир, адм. ц. вилайи Бешар (город в Африке); Бешар
Алжир, адм. ц. вилайи Бискра (город в Африке); Бискра
Алжир, адм. ц. вилайи Блида (город в Африке); Блида
Алжир, вилайя, адм. ц. – Батна; Батна
Алжир, вилайя, адм. ц. – Бешар; Бешар
Алжир, вилайя, адм. ц. – Бискра; Бискра
Алжир, вилайя, адм. ц. – Блида; Блида
Альтернатива ада; рай
Ароматическая смола, используемая для курения при богослужении; ладан
Аспирантура при высшем военном учебном заведении; адъюнктура
Ах, как шаг мы печатали браво, // Как легко мы прощали долги // Позабыв, что движенье направо, // Начинается с левой ноги. – Автор?; Галич
Бабушка, мать отца или матери; бабуля
Балет В. Власова по произв. Ч. Айтматова; асель
Место лишения свободы для рыб.; аквариум
Предмет поклонения, идол пофигистов; авось
Научное название ерунды.; абсурд
Дочь мента.; Авария
Фортуна по-русски; авось
Беспечный муж Авоськи; авось
Не то, чтоб даун, но и не кретин.; идиот
Заместитель истины.; аксиома
Морской авторитет; акула
Наука о соседях за стеной и звукопроницаемости стены.; акустика
Какая машина застрянет там, куда другие не доедут?; джип
Веселящее растение.; хмель
Субъект русского Интернета, обросший мифами и легендами, как днище корабля ракушками.; Вернер
Главная потенциальная жертва СПИДа.; вампир
Важная деталь стакана.; дно
Неизменный спутник каждого человека. Иногда вреден, иногда полезен, никогда не спит.; сосед
Он.; спирт
Её любят, ненавидят – никто не равнодушен. Красивая, но глупая. Склонна к суициду. (комп.); виндовс
Основное отличие мусульманского рая от христианского.; гурия
Прототип Герасима.; Разин
Обмороженный дождик.; град
Дорогие гусли.; арфа
Национальность первого советского космонавта.; лайка
Жест, изобретённый капитаном Куком, павшим жертвой каннибалов после демонстрации своего изобретения.; кукиш
Из чего, из чего, из чего же сделаны наши девчонки? Не все, не все...; силикон
Одежда для Венеры Милосской.; жилет
Муж зелёной птицы.; кенар
То, что Гребенщиков призывал беречь пуще глаза.; хой
Один из неофициальных титулов крымского хана.; собака
Любимое кушанье матушки Борджиа.; отрава
Пахучий древний крестьянин.; смерд
Грань между явью и сном.; веко
Чей ковчег, чей?; ноев
Карликовый бульдог.; мопс
Аргумент Шурика.; надо
Взрывчатая глина.; динамит
Совесть Буратино.; сверчок
Папа Павлика Морозова, конечно, фигурально.; кулак
Гражданин, в отличие от князя.; Минин
Калека, страдающая латентным каннибализмом, сказочный персонаж.; Яга
Горное земноводное.; рак
Снотворное с мочегонным эффектом.; пиво
Адский after shave.; сера
Житель Бенина.; негр
Среднее между уродом, изувером и извергом.; ирод
Вязальный плод.; айва
Не надо звать её по имени, нужно слиться с нею... И будет – сладко...; халва
Парень в жёлтой майке, которого не так-то легко догнать, и ещё труднее обогнать.; лидер
Первая обманка в жизни.; соска
Подводный металл.; титан
Человек, испытывающий страдания из-за несоответствия между визуальным восприятием желаемого и физическим состоянием.; евнух
Гибкий друг пастуха.; аркан
Из пушек, да по воробьям.; салют
Глубоко несчастный человек, раб вредной привычки, объект критики, насмешек и откровенной неприязни. Обычно болен манией величия, любит выступать перед немыми, но не глухими.; автор
Сумасшедшая тётя, измучившая своими посещениями всех родственников.; Ася
Человек, который никогда не застревает в лифтах.; лифтёр
Имя американского актёра Килмера на период съёмок фильма “Святой”.; Валера
Среднеазиатский дедушка.; ака
Скакалка ковбойской девочки.; лассо
Стая коров.; стадо
Отец кадета Биглера и подпоручика Дуба.; Гашек
Вообще-то знак, легко трансформируемый во временный памятник.; вешка
Уха в отсутствие клёва.; ушица
Самый известный в мире череп.; Йорик
Российский путешественник, одержимо рвущийся на Аляску по льду, словно на Аляске так уж всё хорошо.; Шпаро
Не она упала на лапу Азора, а другой хороший цветок.; астра
Человеческое хитросплетение.; лотос
Птица – мучитель всего леса.; дятел
Барабанщик, поигрывавший палочкой при виде пьяной и помятой пионервожатой.; Ринат
Моя кошка это бы купила, если бы у меня была кошка. И если бы у неё были деньги.; Вискас
Бывает глухая, бывает огня, бывает Паркера.; стена
Не совсем конюшня, но прецедент был.; сенат
Тоже козёл.; архар
Легендарный русский полководец (юмор.); Аника
Единственный друг Штирлица в логове германского нацизма.; Юстас
Два очка.; валет
Сообщество людей, ни хрена вокруг себя не замечает.; отряд
Роскошная, яркая птица, повторяющая чужие слова.; ара
Ответный удар бывшей империи.; Ява
Кошки тоже могут там жить.; кошара
Хлэб.; лаваш
Объект сосания Саши в её долгом путешествии.; сушка
Американский штат, названный в честь Гая Юлия Цезаря.; Огайо
Получше, чем докука, но похуже, чем хандра.; скука
Хребет игры.; азарт
Когда много детей, они куда-то бегут, орут, визжат. Шумят, одним словом.; орава
Внесистемная единица измерения количества, широко распространённая на российских рынках.; пучок
Полуавтоматическое оружие бригад особого назначения по борьбе с вампиризмом.; коловорот
Последнее транспортное средство для древнего грека.; паром
Юный фанат какой-нибудь рок-группы.; отрок
Люди, живущие в своё удовольствие в Океании. Больше всего жалеют о Миклухе, выходят на берег моря, садятся на мокрый песок и долго-долго глядят вдаль, вытирая морщинистые щёки...; папуасы
Мифический конёк-инвалид.; Пегас
Древнерусский царь, прославленный собственной древностью.; Горох
Набрасывается на людей, особенно на пьяных. Оглушает их ужасным ударом в лоб. Особенно активен зимой, напав на человека, может причинить ему значительные увечья.; тротуар
Удав-алкоголик. Напьётся и валяется кольцами тут и там.; питон
Два пяндыжа или десять юксов.; чирик
Далеко не Африка.; Америка
Культовое понятие в американском кинематографе. На нём убивают, грабят и насилуют, оно ведёт обычно в никуда или в ад, но тем не менее, настолько магнетично, что обезволивает людей, и те снова и снова попадаются на кукан.; шоссе
Самая яркая ипостась Фёдор-Михайлыча Достоевского.; игрок
Житель одного американского штата.; оклахомец
Сущий клад.; склад
Если не по размеру, может так порвать роток, что придётся накидывать платок.; кусок
Навязчивая, терпеливая птица.; дятел
Вода без границ.; океан
Засады на дорогах, которые устроили повсюду алчные люди мышиного цвета.; посты
Хитросплетение верёвочек.; макраме
Промежуточный статус, между свободным человеком и подневольным.; жених
Договор о том, что если вам на голову свалится дом, то ваши родственники не пожалеют о том.; полис
Дочь Чата, в которую влюбляется миллион человек каждые 22 дня.; аська
Младой баранчик по-древнерусски.; агнец
Объект сексуальных вожделений казака во степи.; шашка
Внутренний, печатный и церковный.; орган
Злокозненные существа, пуще всего любящие взращивать в человеке ростки клаустрофобии.; демоны
Богатырь. Ненавидел пришельцев. Как увидит пришельца, с криком “Sux!” уничтожает. Домашние звали Ваней, враги уважительно: Ива-а-ан.; Айвенго
Священная книга приверженцев одной из религий XX века, основанной знаменитым фантастом. (юмор.); капитал
Последовательность звуков различной силы и высоты, как правило пагубно действующая на психику человека, не имеющего специальной подготовки.; пение
Окультуренная канава.; арык
Лучший друг идиота.; санитар
Самый ка-анкретный песенник в мире.; Крутой
Дорогое развлечение для утончённых мазохистов, длится долго, мучительно и не так, как хочется. Но это ведь и замечательно...; ремонт
Грег Распутин в перерывах между пьянством, трахингом и занятиями политикой.; старец
Ощенитившийся секс-символ, идол, и чуть ли не изверг российского кино, так уставший от этого бремени, что совершил хроно-переход в прошлое, где влился в ряды организованной преступности с человеческим лицом.; Машков
Бывшая свинья.; корейка
Обычный порошок.; лоск
Объект водружения.; стяг
Отряд октябрят.; звено
Завлекательное обращение к особям женского пола из-под кепки.; дэвушка
Затянувшийся пикник мужественных людей и собак.; зимовка
То, во что превратил Крым Василий Аксёнов во время отдыха в Коктебеле в конце 70-х.; остров
Спрут в банке.; банкир
“И вечный ..., покой нам только снится” – гимн пользователей Windows 95-98.; сбой
Родина радио. (юмор.); Армения
Совершенно неуместный процесс в процессе процесса спонсорской помощи.; торг
Передняя часть того, во что едят.; репа
Богатая, но обречённая на страшную погибель свинья.; копилка
Негромкое существо.; рыба
Место, куда всё заносят, но откуда ничего, к сожалению, не выносят.; анналы
Мерзкий, отвратительный, ужасный сад.; осенний
Одно из трёх известных развлечений для лиц преклонного возраста.; клистир
Диавольское изобретение итало-французских дизайнеров, поражающее мужчин в область бумажника, где бы они не носили бумажники.; лайкра
Писатель-злопыхатель.; сатирик
Цветок-оракул.; ромашка
Доза виртуоза.; треть
Унылая, жабообразная...; царевна
То, что так не понравилось Джулиусу в рассказе Винса Веги о нравах европейцев.; майонез
Переехавший в Винницу житель Крайнего Севера.; салоед
Манит парочки своей голубизной.; лагуна
Очень валидный овощ.; капуста
Очередная жертва оголтелой тёти Аси.; сорочка
Озабоченный Амур.; Эрос
Воплощение подземного духа Горгаза, виновник провалов и обломов. Описан в классической литературе как алчный накопитель с педофильскими замашками. Быстр.; крот
