Лингвистическое серебро?; слово
Любовные интриги, ухаживание?; шашни
Любой из обитателей чеховской “Палаты №б”?; дурак
Люди стремятся, чтоб ОН был мирным. Кто ОН?; атом
Люди, говорящие, что заклинаниями могут вызвать эту погоду, пользуются и сейчас в Африке большим почетом. Какую?; дождь
Люди, которые думают “пить надо больше” и те, которые думают “пить надо меньше”, сходятся в одном – ...?; пить надо
Людские пересуды.; молва
М. Горький утверждал, что он не знает ничего лучше, сложнее и интереснее. Кто это?; человек
М. Горький, “Глупый пингвин робко прячет ... в утесах” а) тело жирное б) постную грудинку в) заначку г) акваланг, оружие и документы?; а
Мeталл грyппы лaнтaнoидoв; лютеций
Маг из Ордена добрых волшебников в книге Д. Р. Р. Толкиена?; Гендальф
Магазин модной, дорогой одежды?; бутик
Магнитофон без усилителя мощности?; дека
Мадагаскар как географический обьект?; остров
Майя Чибурданидзе как спортсменка?; шахматистка
Макияж, преображающий до неузнаваемости?; грим
Максим Перепелица в миру?; Быков
Малави (город в Африке)?; Блантайр
Малая планета?; астероид
Маленькая дамская сумочка, чьим “именем” нередко ошибочно величают здоровенные сумищи?; ридикюль
Маленькая круглая шапочка?; ермолка
Маленький гигант большого смеха?; Хазанов
Маленький огонек, выпрыгивающий из костра?; искра
Маленький, озорной, подземный, а не гном (нем. фольклор)?; кобольд
Мало того, что премия досталась ее мужу, зятю и дочери – она сама получила ее дважды. Кто она?; Кюри
Малообразованный человек, неуч?; невежда
Малыш и Карлсон, Элли и Тотошка, Нильс и ... ?; Мартин
Мальвина пыталась научить Буратино арифметике и ... ?; гигиене
Мама – ... , Папа – стакан портвейна – слово из песни В. Цоя?; анархия
Мама Леонида Якубовича, по его же словам, была врач-... ?; гинеколог
Манера пережевывания, весьма далекая от хороших манер?; чавканье
Маникюр для ног?; педикюр
Манка изготавливается из ... ?; пшеницы
Маргарет Тэтчер принадлежат слова: “90% наших забот касается того, что никогда ...”?; не случится
Марк Твен, как известно, в молодости плавал по Миссисипи. А один из его друзей спустил на воду лодочку, управляемую с берега при помощи радиоаппаратуры. Он тоже был гений. Кто он?; Тесла
Марка вертолета?; орел
Марка немецкого автомобиля?; БМВ
Марка прибалтийского телевизора?; шилялис
Марка самолета?; ан
Марка скрипок, делающая их, без преувеличения, на вес золота?; Страдивари
Марка советского магнитофона?; вега
Марка японского автомобиля?; мазда
Марлинский – постоянный псевдоним, в читательском сознании слившийся с фамилией этого поэта, прозаика, критика, одного из декабристов?; Бестужев
Мартиролог – это сборник о ... ?; мучениках
Маршрут беглого каторжника Мауриция Беневского, совершившего побег на захваченном паруснике из Петропавловска-Камчатского, завершился на острове ... ?; Мадагаскар
Масса снаряда в мужском метании диска (грамм)?; 2000
Масть в игральных картах?; червы
Матадор, он же ... ?; тореро
Математический знак?; инфинитив
Материал полиамидного волокна?; нейлон
Материал, получаемый спеканием стеклянного порошка и порообразователя?; пеностекло
Материализованное доверие?; аванс
Материальный предмет, служащий объектом религиозного поклонения?; идол
Материк, в водах которого самое большое скопление синих китов?; Антарктида
Матросская метла-мочалка?; швабра
Махновское имя?; Нестор
Машина для жилья (по Ле Корбюзье)?; дом
Машина для уборки помещений в метро названа в честь девушки из сказки, выполнявшей сходные задачи – ... ?; Золушка
Меcто пpоживaния, меcтoнaхoждeниe?; адрес
Мед. ультразвуковой прибор?; эхоскоп
Медаль его имени не так давно в России учредили специально для летчиков, это ... ?; Нестеров
Медвежонок, кутенок, моржонок – общее название?; детеныш
Медицинское пpиспособление, используемое для остановки кpовотечения?; тампон
Медицинское учреждение?; клиника
Медно-цинковый сплав?; латунь
Медный сплав?; латунь
Между Землей и Небом – ...! – слово из песни В. Цоя?; война
Между флейтой и кларнетом?; гобой
Международная единица длины, равная 1,852 км – это морская ... ?; миля
Международная общественная организация, ставящая целью охрану природы?; гринпис
Межеумок – обычная, простая, широкая; бурлацкая – грубее и толще обычной; боская – продолговатая, тупоносая; а также полубоская, носатая, тонкая, белая и пр. О чем все это?; ложка
Мексиканский живописец?; Ривера
Мексиканский напиток из сладкого сока агавы?; пульке
Мелкая монета Болгарии?; стотинка
Мелкие (рост 80–140 см) лошади, выведенные на островах (Британские, Исландия, Сицилия, Корсика, Готланд, Хоккайдо). Около 20 верховых и легкоупряжных пород (шотландский, уэльский, исландский, хоккайдо-...)?; пони
Мелкие бусинки с сквозными отверстиями?; бисер
Мелкие разноцветные бусины?; бисер
Мелкий интриган?; склочник
Мелкий кустарник семейства вересковых с вечнозелеными кожистыми листьями?; толокнянка
Мелкий лед или пропитанный водой снег на поверхности воды перед ледоставом?; сало
Мелкое худож. изделие, изготовленное ручным способом?; поделка
Мелкопоместный дворянин, рыцарь в средневековой Испании?; идальго
Мельхиор – это сплав меди, главным образом, с ... ?; никелем
Мельчайшие неклеточные представители живой природы, состоящие из нуклеиновой кислоты (ДНК или РНК) и белковой оболочки, размером 15–350 нм и более. Размножаются не только в живых клетках, но и на винчестерах компьютеров?; вирусы
Мера веса драгоценных камней?; карат
Мера дегтя?; ложка
Мера объема жидких и сыпучих тел в разных странах, обычно немного больше литра?; кварта
Мера объема?; миллилитр
Мера площади в метрической системе мер?; га
Мера площади, равная 100 кв. м?; ар
Мера принуждения в отношении государства, нарушившего обязательство?; санкция
Мера содержания золота в сплавах, равная 1/24 массы сплава?; карат
Мерилом дешевизны в старой Руси было это блюдо?; пареная репа
Мерин в свином обличие?; хряк
Мерный трос с грузом на конце, с помощью которого, до недавнего времени, измеряли глубину моря?; лот
Мертвец?; покойник
Меры по предохранению трупа от разложения. Было известно с глубокой древности и имело особенное распространение у древних египтян?; бальзамирование
Местность на юго-востоке Москвы, на правом берегу Москвы-реки?; Нагатино
Местность, удаленная от столицы и культурных центров?; провинция
Место в истории, где оказываются значительные события, не прошедшие проверку временем?; задворки
Место выступления артиста цирка?; арена
Место для торговли, рынок?; базар
Место приближения инженерно-технической интеллигенции к корням (советск.)?; овощебаза
Место размещения войск вне населенных пунктов?; лагерь
Место распятия Христа; повесть Лиханова?; Голгофа
Место речного впадения.; устье
Место сидения от звонка до звонка?; школа
Место встречи живых и мертвых?; кладбище
Место, где готовится итальянский суп павеза?; духовка
Место, где происходила битва в 1477, Швейцария–Бургундия?; Нанси
Место, где происходила битва в 1700, 1704, Россия–Швеция?; Нарва
Место, куда идет человек, когда идти больше некуда, как сказал один мудрец?; дом
Место, под которым видит мужа в мечтах каждая женщина?; каблук
Место, где вам дадут взаймы денег, если вы можете доказать, что они вам не нужны?; банк
Место, где крепят гюйс?; нос
Местожительство народа бай?; Китай
Местожительство Ивана Грозного, сообщенное им самим в фильме Гайдая?; палаты
Местоположение рук ленивого человека во время ходьбы?; брюки
Месяц французского республиканского календаря (18 авг.–16 сент.), в переводе “плодовый”?; фрюктидор
Месяц французского республиканского календаря (19 июля–17 авг.), в переводе “жаркий”?; термидор
Месяц французского республиканского календаря (21 дек.–19 янв.), в переводе “снежный”?; нивоз
Месяц французского республиканского календаря (21 мар.–19 апр.), в переводе “прорастающий”?; жерминаль
Месяц французского республиканского календаря (21 мая–18 июня), в переводе “луговой”?; прериаль
Месяц поста у мусульман?; рамадан
Металл “пайщик”?; олово
Металлич. или пластмассовые трубочки для накрутки волос при завивк?; бигуди
Металлические щипцы?; клещи
Металлический сосуд для кипячения воды?; самовар
Металлический сосуд, в котором на горящих углях воскуривается ладан?; кадило
Металлическое изделие определенного профиля?; прокат
Металлическое ребро горной лыжи?; кант
Метательная машина?; баллиста
Метательная палица серповидной формы, которая, описав кривую, возвращается к метающему?; бумеранг
Метательное оружие наших древних предков?; праща
Метательное оружие: закрепляемый одним концом на руке ремень с расширенной средней частью для раскручивания камней и т. п.?; праща
Метательное оружие австралийских аборигенов и др. народов в виде изогнутой пластины, при броске мимо цели может возвращаться назад к метателю?; бумеранг
Метель без снегопада, поднимающая снег с земли?; поземка
Метеорное тело достигшее земной поверхности?; метеорит
Метод выражения своих чувств с помощью рифмы?; поэзия
Метод исследования внутренних органов непосредственным осмотром их специальными приборами?; эндоскопия
Метод сбора информации?; опрос
Метопоскопия – это ... ?; физиогномика
Механизм в транспортной машине для соединения и разъединения валов?; сцепление
Механизмы развития заболеваний?; патогенез
Механическое воздействие специальными приемами на поверхность тела с лечебной целью?; массаж
Меховая или бархатная женская накидка?; палантин
Меценат по-современному?; спонсор
Мешок с салом, который можно отнять у овцы?; курдюк
Мешочек-талисман, носимый на груди?; ладанка
Микки ... – один из главных диснеевских персонажей?; Маус
Микроскопический организм?; бактерия
Миля капитана Немо?; лье
Минерал, имеющий твердость 5 единиц по шкале Мооса?; апатит
Минерал, как и кварц, имеющий твердость 7 единиц по шкале Мооса?; турмалин
Минерал, как и ортоклаз, имеющий твердость 6 единиц по шкале Мооса?; опал
Минерал, как и топаз, имеющий твердость 8 единиц по шкале Мооса?; берилл
Минерал, наиболее устойчивая в земной коре разновидность чистого углерода?; графит
Минерал, поделочный камень?; родонит
Минерал, редкий вторичный силикат бериллия?; бериллит
Минерал, ценная руда?; берилл
Минеральное соединение, горная порода, содержащая полезные простые вещества?; руда
Минимальная известная тепература на Земле (-89,2 С) была зафиксирована в июле 1983 г. в Антарктиде на советской станции ... ?; восток
Минимальная порция информации?; бит
Мир изображений, живущих человеческой жизнью?; кино
Мираж, призрачное видение?; марево
Минерал, прозрачная (фиолетовая) разновидность кварца?; аметист
Мистический роман шведского писателя И. А. Стриндберга?; ад
Мистическое учение, получившее распространение в иудаизме?; каббала
Мифический секс-символ Греции?; Эрос
Мифическое сказание?; сага
Мифическое чудовище?; Харибда
Мифологич. предок поляков, брат Чеха и Руса?; Лях
Мифологический Атлант держал на своих плечах ... ?; небо
Мишель Платини как игрок?; футболист
Млекопит. сем. кошачьих; способ бега лошади?; рысь
Млекопитающее отряда грызунов (болотный бобр, коипу)?; нутрия
Млекопитающее отряда грызунов?; нутрия
Млекопитающее отряда китов?; афалина
Млекопитающее отряда однопроходных, единственный вид семейства. Длина тела до 45 см, хвоста до 15 см. Лапы с перепонками. Обитает по берегам водоемов в Восточной Австралии и на Тасмании?; утконос
Млекопитающее семейства кошачьих. Длина тела, как правило, до 3 м, хвоста 1,1 м, весит до 390 кг. Известны случаи людоедства, главным образом у старых, больных или раненых зверей?; тигр
Млекопитающее семейства кошачьих?; тигр
Млекопитающее семейства сумчатых?; коала
Млекопитающее семейства тюленей?; ларга
Млекопитающее, сохранившееся только в заповедниках?; зубр
У какого млекопитающего нет голосовых связок?; жираф
Мне часто снится тот сон, мой удивительный сон, как будто осень нам играет вальс бостон – кто пел?; Розенбаум
Мнение, установившееся о ком-либо, репутация?; реноме
Многолетнее луковичное растение семейства лилейных?; гиацинт
Многолетнее травянистое растение семейства розоцветных, дающее сладкие ягоды красного цвета?; земляника
Многоместная карета для перевозки пассажиров, багажа, почты?; дилижанс
Множество дырок, сплетенных между собой?; сетка
Множество этих животных доставляли секретную почту от германских шпионов из Франции во время Первой Мировой войны?; пчелы
Модель “Жигулей”?; копейка
Модель “Опеля”?; дипломат
Модель “Шевроле”?; кавальер
Модный танец 60-х годов?; твист
Может быть, тебе дать еще ключ от квартиры, где ... ?; деньги лежат
Можжевеловая водка (англ.)?; джин
Можно загипнотизировать человека, постоянно поворачиваясь к нему ... ?; задом
“Мой папа был турецко-подданный” как элемент биографии Остапа Бендера по определению авторов (Ильф и Петров)?; подробность
Молдавская эстрадная певица?; Чепрага
“Моллинезия” – это...; рыбка
Молодые растения, выращиваемые в защищенном грунте?; рассада
Молодые растения, предназначеные для высадки в открытый грунт?; рассада
Молоко именно этой греческой богини разлилось в Млечный путь. Какой?; Геры
Молоко, с которого киргиз напивается в дрыбадан?; кумыс
Мона Лиза, она же ... ?; Джоконда
Монастырь или скит, находящийся в отдаленном пустынном месте?; пустынь
Монастырь, основанный в 1591 г. в честь победы русского войска над крымским ханом Казы-Гиреем?; Донской
Монахи этого католического ордена получили свое имя благодаря головному убору. Их называли ... ?; капуцины
Монетка, насыщавшая телефоны-автоматы в советские времена (достоинство в копейках)?; 2
Монументальное надгpобное сооpужение?; мавзолей
Моральное и боевое качество воина?; мужество
Моральный кодекс строителя иудаизма?; талмуд
Море внутри атолла?; лагуна
Море, в котором находится остров Рюген, известный по сказкам и былинам, как остров Буян?; Балтийское
Мореплаватель, который, собравшись плыть в Индию, туда и приплыл?; Гама
Мороженое и город во Франции, где его впервые приготовили?; пломбир
Морская мера длины?; миля
Морское ластоногое млекопитающее семейства ушастых тюленей с ценным мехом?; котик
Морское млекопитающее семейства дельфинов?; афалина
Морское оружие: подводный снаряд с ходовой установкой, системой наведения и мощным зарядом взрывчатки?; торпеда
Морской генерал?; адмирал
Морской моллюск класса головоногих?; осьминог
Морской обитатель, друг человека?; дельфин
Морской полип?; коралл
Морской порт вблизи Владивостока?; Находка
Морской разбойник, пират?; корсар
Моряки называют капитана “кэп”, а старшего механика ... ?; дед
Моряки так называют маленькую шлюпку, а в деревнях это имя дают собакам?; тузик
Московская улица, “отобранная” у пролетарского писателя и “отданная” проституткам?; Тверская
Московский аэропорт?; Внуково
Московский футбольный клуб, за который играл легендарный Эдуард Стрельцов?; торпедо
Мохнатый шмель – // На душистый хмель, // Цапля серая – // в камыши... Музыку к этому романсу из фильма Эльдара Рязанова написал Андрей Петров. А слова?; Киплинг
Мрамор, известняк, мел – это ... (соединение)?; карбонат кальция
Мудрость стариков – это великий обман. Они становятся не мудрее, а ... (Эрнест Хемингуэй, “Прощай, оружие!”)?; осторожнее
Муж Гуинивер, отец Мордреда (от его родной сестры, а не Гуинивер. Создатель Круглого стола)?; Артур
Мужененавистничество?; андрофобия
Мужик, где у вас тут водкой торгуют? – поинтересовались поляки. “Пошли, ребята, покажу” – ответил ... (Герой анекдота)?; Сусанин
Мужик, которому Кармен с тореадором наставили рога?; Хосе
Мужик, придумавший закон не без помощи фрукта?; Ньютон
Мужская и женская одежда без рукавов?; жилет
Мужское имя, происходящее от того же греческого слова, что и специальность врача, напрямую связанная с мужчинами?; Андрей
Мужское имя; фильм Довженко?; Иван
Мужское имя?; Георгий
Мужское половое бессилие, отсутствие эрекции?; импотенция
Мужской орган цветка, состоит из нити и пыльника с пыльцой?; тычинка
Мужской певческий голос?; баритон
Мужчина, который выписывает кренделя на трезвую голову?; танцор
Мужчина, находящийся либо в седле, либо не в своей тарелке?; джигит
Мужчина, у которого удалены половые железы, скопец?; кастрат
Мужчины племени балуба (что в Конго) предпочитают женщин с ... ?; выбитыми зубами
Муза поварского искусства у древних греков?; Кулина
Муза шахмат?; Каисса
Музею “Государственная Третьяковская галерея” принадлежит картина “Сватовство майора”. Автор?; Федотов
Музыка на стихотворения пасторального любовного содержания?; мадригал
Музыкальная нота?; ля
Музыкальная пьеса, в которой сочетаются виртуозность, быстрота, ритм и четкость?; токката
Музыкальное вступление к опере, балету?; увертюра
Музыкальное произведение для двух исполнителей с самостоятельными партиями для каждого?; дуэт
Музыкальное произведение оживленного характера?; рондо
Музыкально-поэтическое произведение для голоса с инструментальным сопровождением, важнейший жанр камерной вокальной музыки?; романс
Музыкальный знак, отменяющий повышение или понижение какой-либо ступени звукоряда на полутон или на целый тон?; бекар
Музыкальный инструмент, изображенный на Государственном гербе Гаити, называется ... ?; барабан
Музыкальный инструмент, с которым пионерский отряд передвигался строем?; горн
Музыкальный оптимизм?; мажор
Музыкальный пессимизм?; минор
Музыкальный темп, не нарушающий сладкого сна слушателей?; адажио
Музыкальный шеф?; дирижер
Музыкант до рассвета пел мне песенку эту, я забыла беды свои... – кто пел?; Орбакайте
Музыкант-струнник?; контрабасист
Музыку к телефильму “Соломенная шляпка” написал ... ?; Шварц
Мультипликация?; анимация
Муниципальный “кусок” города?; округ
Муравьи могут поднимать груз, больше собственного веса в ... раз?; 50
Мускулатура зубов?; десна
Муссульманский храм?; мечеть
Мусульм. феод. теократия с халифом во главе?; халифат
Мусульманский правитель?; султан
Мусульманский храм?; мечеть
Муха села на варенье – с точки зрения формальной логики, если муха и варенье – объекты?; событие
Мухоморная начинка?; яд
Мучное изделие, выпекаемое на сковороде?; блин
Мушкетер, мечтавший стать аббатом?; Арамис
Мы легко прощаем тех, с кем нам скучно, но никогда не прощаем тех, кому ... ?; скучно с нами
Мы не живем там, потому что японцев накормили апельсинами, арабов – шелковицей, а нас – яблоками. Где? “в ...”; раю
Мы строили, строили, и, наконец, построили... Что имел в виду Чебурашка?; Дом дружбы
Мыс в Ю. Америке?; Горн
Мыс севера-запада Евразии?; Нордкин
Мыс, коса в Ю. Америке?; Гальинас
Мысль, всецело увлекшая человека; одержимость человека навязчивой идеей?; идефикс
Мышку, пришедшую к “Теремку”, называли ... ?; Норушка
Мышца смеха есть не у всех людей. Для того, чтобы узнать, есть ли она у вас, достаточно одной улыбки. Скажите, чем отличается улыбка обладателя мышцы смеха от улыбки того, кто ею не обладает?; ямочки на щеках
Мышь – Джерри, кот – Том, а собака – ... ?; Спайк
Мягкая бархатистая кожа для изгот. обуви, одежды, перчаток?; замша
Мясное блюдо?; котлета
Мясной продукт, которому можно “все ребра пересчитать”?; грудинка
Мясо без костей?; филе
Мясо высшего сорта из хребетной части суши, вырезка?; филе
Мясо собаки или кошки?; гуляш
Нeфтепpoдyкт; керосин
На башне этого здания установлен старинный герб Казани?; Казанский вокзал
На Востоке говорят: “Не обязательно выпить все море, чтобы узнать, что вода в нем ...”?; соленая
На всякого мудреца довольно ... Чего?; простоты
На выбор: валюта или футбольный клуб?; песета
На вывоз в какую губернию покупал Чичиков крестьян?; Херсонскую
На его могиле на кладбище Монпарнас надпись: “Гений шахмат России и Франции”? (фамилия не через Ё); Алехин
На ее именины приехали Скотинины, Гвоздин, Флянов, Петушков, Пустяков? (имя + фамилия); Татьяна Ларина
На каждого человека на Земле приходится около ... насекомых?; 100000000
На каких судах Колумб доплыл до Америки? (На ...); каравеллах
На какой город американцы в 1945 году сбросили первую атомную бомбу?; Хиросима
На какой из территорий находятся остатки древнего русского города Тмутаракань?; Краснодар
На какой планете родился Люк Скайвокер?; Татуин
На какой планете Солнечной системы наиболее близкое к земному ускорение силы тяжести на экваторе (967 гал)?; Уран
На какой срок избирается коллегией кардиналов глава католической церкви, Папа Римский?; пожизненно
На какой строительной конструкции, немецкой дорожке, можно увидеть женщину?; панель
На какой улице проживал Шерлок Холмс?; Бейкер-Стрит
На каком канале стоит порт Саид?; Суэцкий
На каком летательном аппарате россияне чаще всего пролетают над Парижем?; фанера
На каком музыкальном инструменте играл Шерлок Холмс?; скрипка
На каком языке сочиняет стихи Расул Гамзатов? (На ...); аварском
На картине Иеронима Босха “Падение Икара” мы можем любоваться пятками героя, находящегося ... ?; под водой
На кельтском “сог” – тихий, “хан” – река. А теперь назовите и сейчас известную нам тихую реку?; Сена
На кого фактически охотились герои фильма “Особенности национальной охоты”?; корова
На ком хотела жаба женить своего сына в сказке Андерсена?; Дюймовочке
На корабле у офицеров – каюта, а у матросов?; кубрик
На могиле Родена стоит эта его скульптура. Какая?; мыслитель
На недоброкачественную продукцию покупатель имеет право подать ... ?; рекламацию
На них средневековые мастера писали: “Лев зовусь я. Мой рев громок.” “Я зовусь Петух. В драке я вперед прорвусь.” “Я зовусь Прекрасная Елена. Из-за меня много людей погибло.” Что это за объекты подобных художеств? (ответ во мн. ч.); пушки
На основе какого протокола функционирует сеть интернет?; IP
На островах Самоа при наступлении этого события морской червь паполо поднимается на поверхность океана, а в Финляндии бросают через плечо левый ботинок. А что при этом делают у нас?; украшают елку
На памятнике этому англичанину написано: “Увеличил власть человека над природой”. Как его звали?; Уатт
На Руси военный укрепленный пункт, обнесенный оградой из заостренных бревен?; острог
На Руси при одном из гаданий связывали хвостами петуха и курицу и сажали под это, чтобы по тому, кто перетянет, предсказать кто будет в доме главным – муж или жена. Что это?; решето
На Руси это слово означало “дубина, кувалда, дылда, баламут”. У большинства из нас это слово ассоциируется с известным сказочным героем. Непосредственный начальник этого героя?; поп
