Xищнaя птицa; дербник
Австр. педиатр; Пирке
Австр. пис-ца; Бахман
Австр. писатель; Анценгрубер
Австр. полярный исследователь; Пайер
Австр. поэт; Рильке
Австр. ученый, основоположник нумизматики; Эккель
Австр. физик; Доплер
Австр. футб. клуб; Рапид
Австр. художник; Климт
Австр. архитектор, противник стиля “модерн”; Лоз
Австр. проф., нумизмат 19 в., хранитель венск. мюнцкабинета; Айтль
Австр. химик-аналитик, созд. научн. шк. капельн. микроанализа; Файгль
Австрал. иссл-ль Антарктики; Моусон
Австрал. химик-органик; нем. химик; Берч
Австрал. химик-органик; Берч
Австралийская натуралистка, писательница; эстонский скульптор; Адамсон
Австралийская река; Ногоа
Австралийская собака; динго
Австралийские аборигены умеют делать лодки из древесной коры. В экипаж такой лодки входят 6–8 человек. Гребет только половина из них. А что делают остальные?; вычерпывают воду
Австралийский астроном; Гам
Австралийский вирусолог и иммунолог. Нобелевская премия (1960, совместно с П. Б. Медаваром); Бернет
Австралийский зверь, яйцекладущее млекопитающее, покрытое иглами; ехидна
Австралийский мыс; Луин
Австралийский писатель. Нобелевская премия (1973); Уайт
Австралийский сумчатый медведь?; коала
Австралийский физиолог, лауреат Нобелевской премии; Эклс
Австралийский физиолог. Нобелевская премия (1963, совместно с А. Л. Ходжкином и А. Ф. Хаксли); Эклс
Австралийское животное с сумкой; вомбат
Австралийское животное; сивуха
Австралия (город); Албери
Австралия, порт (город); Сидней
Австралия, порт, Тасмания (город); Хобарт
Австрийская натуралистка, писательница (1910–80); Адамсон
Австрийская писательница. Нобелевская премия мира (1905); Зутнер
Австрийская разменная монета; грош
Австрийский автор новеллы “Амок”; Цвейг
Австрийский актер; Аншюц
Австрийский археолог и нумизмат (1791–1863); Арнет
Австрийский архитектор; Хофман
Австрийский врач и психолог, основатель психоанализа; Фрейд
Австрийский город в земле Тироль; Тельфс
Австрийский дирижер и композитор; Мотль
Австрийский зоолог. Нобелевская премия (1973, совместно с Н. Тинбергеном и К. Фришем); Лоренц
Австрийский историк. Нобелевская премия мира (1927, совместно с Ф. Бюиссоном); Квидде
Австрийский книгоиздатель и журналист. Нобелевская премия мира (1911, совместно с Т. Ассером); Фрид
Австрийский композитор, автор оперы “Аптекарь”; Гайдн
Австрийский композитор, автор оперы “Ифигения в Авлиде”; Глюк
Австрийский композитор, опера “Продавец птиц”; Целлер
Австрийский композитор, реквием, оперы: “Волшебная флейта”, “Дон Жуан”, “Свадьба Фигаро”; Моцарт
Австрийский композитор, теоретик; Хауэр
Австрийский композитор, учитель Ф. Листа; Черни
Австрийский оториноларинголог. Нобелевская премия (1914); Барани
Австрийский педиатр, с именем которого связана диагностическая проба на туберкулез; Пирке
Австрийский писатель ХIX в., автор “Новелл из Австрии”; Заар
Австрийский писатель, автор пьесы “Сказки Венского леса”; Хорват
Австрийский писатель, автор романа “Шершни”; Хандке
Австрийский писатель, мастер психологической новеллы; Цвейг
Австрийский последователь Зигмунда Фрейда, перешедший к системе индив. психологии; Адлер
Австрийский поэт, писатель; Кафка
Австрийский резчик монетных штемпелей и медальер 19 в.; Гауль
Австрийский скульптор, лепщик из воска, медальер 18–19 вв.; Пош
Австрийский социал-демократ, застреливший в 1916 г. премьер-министра, а затем ставший лидером Социалистического интернационала; Адлер
Австрийский ученый и музыковед 19 в.; Кехель
Австрийский ученый, лауреат Нобелевской премии по физиологии и медицине; Бернет
Австрийский ученый, лауреат Нобелевской премии по химии; Кун
Австрийский ученый, лауреат Нобелевской премии по экономике; Хайек
Австрийский физик и философ-идеалист, один из создателей эмпириокритицизма; Мах
Австрийский физик. Нобелевская премия (1936); Гесс
Австрийский физиолог. Нобелевская премия (1936, совместно с Г. Х. Дейлом); Леви
Австрийский химик, предметом изучения которого были белки и углеводы; Скрауп
Австрийский химик-аналитик (1860–1940); Эмих
Австрийский химик-аналитик и физиолог, Нобел. прем. 1923; Прегль
Австрийский химик. Нобелевская премия (1923); Прегль
Австрийский химик; Ауэр
Австрийский художник и медальер 19–20 вв.; Яунер
Австрия (город в Европе); Баден
Австрия, земли; Штирия
Австрия; Кримль
Авт. “О подписях и знаках, под коими скрыты истин. имена” 17 в.; Суарес
Авто, мото, велоскат; шина
Авто- или мотогонки на специальных спортивных машинах; ралли
Автоаппетит; литраж
Автобан как он есть; шоссе
Автобиографическая повесть Жан-Поля Сартра (1964); слова
Автобус; пазик
Автогенетическая концепция эволюции; аристогенез
Автогенетическая концепция, утверждающая, что эволюция совершается якобы без участия естественного отбора, под действием внутренних творческих стимулов и независимо от окружающей среды; аристогенез
Автогонщик “Формулы-I”; Алези
Автогонщик, чемпион мира 1979; Шектер
Автограф на документе?; подпись
Автодом; гараж
Автозавод во Львове; ЛАЗ
Автоинтерьер; салон
Автокар; автотележка
Автоконечность; колесо
Автомагистраль для скоростного движения (нем.)?; автобан
Автомат, заменяющий человека (слово введено К. Чапеком); робот
Автомат, заменяющий человека при выполнении определенных технологических операций; робот
Автомат, осуществляющий действия, подобные действиям человека; робот
Автоматизированная форма поведения человека?; привычка
Автомобилисты, спешащие в Питер из Москвы, никак не минуют этот город в Ленинградской обл.; Тосно
Автомобиль для кросса по пересеченной местности, снабжен рамой для защиты водителя при опрокидывании; багги
Автомобиль и река в России с одноименным названием; Ока
Автомобиль с оплатой по счетчику; такси
Автомобиль, он же – поле; нива
Автомобильная баранка; руль
Автомобильная дорога с твердым покрытием; шоссе
Автомобильная кляча?; драндулет
Автомобильная охлаждающая жидкость; тосол
Автомобильная фирма в Риге; раф
Автомобильное “око”; фара
Автомобильное горючее; бензин
Автомобильное и авиационное топливо; бензин
Автомобильное состязание?; ралли
Автомобильные гонки на точность графика движения; ралли
Автомобильные состязания; гонки
Автомобильный буфер?; бампер
Автомобильный вал; кардан
Автомобильный суфлер; сапун
Автономия России; Адыгея
Автономная область в Испании (главный город Овьедо); Астурия
Автономная область на юге Испании (административный центр – г. Севилья)?; Андалусия
Автономная республика в Грузии; Аджария
Автономная республика в бывшем СССР; Абхазия
Автономное помещение на корабле; отсек
Автономный источник электроэнергии на транспорте; аккумулятор
Автономный узел машины; агрегат
Автообладатель не только четырех колес, но и четырех колец; ауди
Автоподстройка фазы обращения частицы в ускорителе; автофазировка
Автор “Алых парусов”; Грин
Автор “Веселой вдовы”; Легар
Автор “Горячее сердце”; Силин
Автор “Дороги в ад”; Ри
Автор “Естественной истории”; Плиний
Автор “Илиады” и “Одиссеи”; Гомер
Автор “Интервенции”; Славин
Автор “Моя прекрасная леди”; Лоу
Автор “Стихов о супружестве”; Нэш
Автор “Трактата о небесной механике”; Лаплас
Автор “Трех мушкетеров”; Дюма
Автор “истории лангобардов”, живший при дворе карла великого; диакон
Автор вредных советов; Остер
Автор всемирно известной оперы “Волшебная флейта”; Моцарт
Автор гравюры с портрета Л. Толстого в середине 19 в.; Матэ
Автор детективного романа “Убийство на улице Морг”; По
Автор детективной истории о рождественском гусе и голубом карбункуле; Дойл
Автор знаменитого девиза “Бороться и искать, найти и не сдаваться”?; Теннисон
Автор и исполнитель своих песен; бард
Автор исторических романов “Салават Юлаев”, “Степан Разин”; Злобин
Автор исторических романов?; Пикуль
Автор исторического детектива “Граф Соколов – гений сыска”; Лавров
Автор исторического романа “Одеты камнем”; Форш
Автор исторической эпопеи “Емельян Пугачев”; Шишков
Автор к/ф “Битва на рельсах”, “Горит ли Париж?”; Клеман
Автор картин “Пейзаж с фигурой”, “Лес перед грозой”; Шишкин
Автор картин “Рожь”, “Утро в сосновом бору”; Шишкин
Автор картины “Атомистическая леда”; Дали
Автор картины “Ашрам”; Рерих
Автор картины “Букет в стеклянном сосуде”; Машков
Автор картины “Гонец”; Рерих
Автор картины “Девочка с персиками”; Серов
Автор картины “Зуав”; Мане
Автор картины “Лето”; Серов
Автор картины “Маха обнаженная”; Гойя
Автор картины “Продавщица креветок”; Хогарт
Автор картины “Пьеро и Арлекин”; Сезанн
Автор картины “Свадебное путешествие” (Австрия, XIX в.); Швинд
Автор картины “Стога”; Милле
Автор картины “Шоколадница”; Лиотар
Автор картины “Шубка”; Рубенс
Автор книги “Ваша собака”; Палмер
Автор книги “Путешествие в атом”; герой войны 1812 г.; Ильин
Автор книги “Путешествие в атом”; Ильин
Автор книги “Россия во мгле”, которого Ленин пригласил приехать через 10 лет, и хорошо, что не через 80; Уэллс
Автор книги о декабристах “Северное сияние”; Марич
Автор книги по этикету Эмили Пост замечает, что не пользуются симпатией у окружающих люди, которые используют только один сорт сигарет, который называется... Как?; чужие
Автор комедии “Женитьба”; Гоголь
Автор комедий “Птицы” и “Лисистрата”; Аристофан
Автор лирических произведений; лирик
Автор лирической трагедии “Атис”; Люлли
Автор музыки к кинофильму “Титаник” режиссера Кэмерона; Хорнер
Автор музыки к песне на слова Прицкера “Двенадцатая высота”, посвященной киевскому “Динамо”; Шамо
Автор музыки к фильмам “Солярис”, “Раба любви”; Артемьев
Автор научно-фантастического романа “Таинственный остров”; Верн
Автор незабвенной “Мадам Бовари”; Флобер
Автор новеллы “Аббат Обен”; Мериме
Автор одного из Евангелий?; Лука
Автор оперетты “Зеленый остров, или Сто дев”; Лекок
Автор оперы “Боккаччо”; Зуппе
Автор оперы “Долина”; Альбер
Автор оперы “Жиральда”; Адан
Автор оперы “Лалла”; Давид
Автор оперы “Мефистофель”; Бойто
Автор оперы “Севиль”; Амиров
Автор оперы “Ткачи”; Неедлы
Автор оперы “Фатиница”; Зуппе
Автор определения: “Дурак – всякий инакомыслящий”; Флобер
Автор памятника А. Пушкину в Санкт-Петербурге; Аникушин
Автор памятника А. Рублеву в Москве; Комов
Автор первого русского учебника – Букваря, изданного в 1634 г.; Бурцев
Автор первого русского учебника шахматной игры; Петров
Автор первой летописи на молдавском языке; Уреке
Автор первых правил соревнований по боксу; Бротон
Автор песен к м/ф “Король-лев”; Джон
Автор песни “Смело, товарищи, в ногу”; Радин
Автор писем, не называющий своего имени; анонимщик
Автор письма или сочинения, не назвавший своего имени; аноним
Автор письма или сочинения, скрывший свое имя; аноним
Автор повестей “Доктор Крупов”, “Сорока-воровка”; Герцен
Автор повестей “Коллеги”, “Звездный билет”, “Апельсины из Марокко”; Аксенов
Автор повести “Белеет парус одинокий”; Катаев
Автор повести “Вий”; Гоголь
Автор повести “Нос”, “Тарас Бульба”; Гоголь
Автор повести “Сын полка”; Катаев
Автор повести “Яма”; Куприн
Автор повести “Яр”; Есенин
Автор повести-сказки “Старик Хоттабыч”; Лагин
Автор портретной галереи Героев Отечественной войны 1812 г.; Доу
Автор поэмы “Баллада о двадцати шести”; Есенин
Автор поэмы “Пулковский меридиан”; Инбер
Автор проекта нового Большого театра, открытого в 1856 г. вместо сгоревшего в 1853 г. Большого Петровского театра; Кавос
Автор произведений “Гриф – птица терпеливая”, “Саван для свидетеля”, “Гроб из Гонконга”; Чейз
Автор произведений “Нет орхидей для миссис Блэндиш”, “Ты будешь одинок в своей могиле”; Чейз
Автор произведения “Барышня-крестьянка”; Пушкин
Автор произведения “Бахчисарайский фонтан”; Пушкин
Автор произведения “Вечер накануне Ивана Купала”; Гоголь
Автор произведения “Граф Нулин”; Пушкин
Автор произведения “Евгений Онегин”; Пушкин
Автор произведения “Египетские ночи”; Пушкин
Автор произведения “Каменый гость”; Пушкин
Автор произведения “Капитанская дочка”; Пушкин
Автор произведения “Медный всадник”; Пушкин
Автор произведения “Пиковая дама”; Пушкин
Автор произведения “Руслан и Людмила”; Пушкин
Автор произведения “Сказка о золотом петушке”; Пушкин
Автор произведения “Сказка о мертвой царевне и семи богатырях”; Пушкин
Автор произведения “Сказка о попе и работнике Балде”; Пушкин
Автор произведения “Станционный смотритель”; Пушкин
Автор пьесы “Любовь Яровая”; Тренев
Автор пьесы “Привидения”; Ибсен
Автор пьесы “Сирано де Бержерак”; Ростан
Автор пьесы “Царская невеста”, на сюжет которой Римский-Корсаков создал одноименную оперу; Мей
Автор пьесы “Царская охота”; Зорин
Автор рассказа “Вавилонская лотерея”; Борхес
Автор рассказов про Данилу-мастера и Хозяйку Медной Горы?; Бажов
Автор романа “Богач и бедняк”, который содержит и криминальную линию; Ирвин
Автор романа “Вагон”; Ажаев
Автор романа “Вся королевская рать”; Уоррен
Автор романа “Далеко от Москвы”; Ажаев
Автор романа “Дафнис и Хлоя”; фр. пианистка; Лонг
Автор романа “Дафнис и Хлоя”; Лонг
Автор романа “Дети Арбата”?; Рыбаков
Автор романа “Дорога никуда”; Грин
Автор романа “Жасмин”; Ула
Автор романа “Иду на грозу”; Гранин
Автор романа “Имя Розы”; Эко
Автор романа “История Жиль Блаза из Сантильяны”; Лесаж
Автор романа “История кавалера де Грие и Манон Леско”; Прево
Автор романа “Лоцман”; Купер
Автор романа “Люди остаются людьми”; Пиляр
Автор романа “Над кукушкиным гнездом”; Кизи
Автор романа “Падение Кимас-озера”; Фиш
Автор романа “Переяславская рада”; Рыбак
Автор романа “Планета обезьян”; Буль
Автор романа “Скарлетт”; Риплей
Автор романа “Чумная повозка”; Раабе
Автор романа-сказки “Три толстяка”; Олеша
Автор романов “Три товарища”, “Черный обелиск”; Ремарк
Автор росписей на фасаде Политехнического музея в Москве, созданного в 1917 г.; Макеев
Автор росписи плафона “Парнас, Аполлон и Музы”; Скотти
Автор сборника уральских сказов “Малахитовая шкатулка”; Бажов
Автор серии картин “Бедствия войны”; Калло
Автор системы обозначения астероидов; Боуэр
Автор сказки “Обыкновенное чудо”, по которой М. Захаров снял одноименный кинофильм; Шварц
Автор сказки “Приключения Незнайки и его друзей”; Носов
Автор сказки-комедии “Принцесса Турандот”; Гоцци
Автор слов песни “Выткался на озере алый свет зари...”; Есенин
Автор слов: “Все мое ношу с собой”; Биант
Автор слов: “Какой эгоист решится сам съесть последнюю осеннюю землянику. Ее можно сорвать только для чистых уст любимой девушки”; Ренар
Автор социально-криминальной драмы “Нора”; Ибсен
Автор сочинения, письма скрывший свое имя; аноним
Автор статуи Апоксимена, атлета, очищающего свое тело после борьбы; Лисипп
Автор статуи М. Горького; Мухина
Автор стиха “Стансы”; Пушкин
Автор сценариев индийских фильмов “Бродяга”, “Господин 420”; Аббас
Автор сценария к кинофильму “Большая игра”; Спаак
Автор сценария музыкальной кинокомедии “Карнавальная ночь”; Ласкин
Автор текста национального гимна Индии; Тагор
Автор текста песни “Темная ночь”; Агатов
Автор температурной шкалы, названной его именем; Реомюр
Автор теории, на которой базируется сюрреализм; Фрейд
Автор теории, по которой цивилизация выживает, если дает достойный ответ на вызов, который предлагает исторический процесс; Тойнби
Автор трагедии “Антигона”; Софокл
Автор трилогии “Нашествие монголов”; Ян
Автор трилогии “Необычайные приключения Тартарена из Тараскона”; Доде
Автор трилогии “Радищев”; Форш
Автор фильмов “Крылья”, “Баллада о солдате”, “Белое солнце пустыни”; Ежов
Автор фразы: “Пора прекратить сажать, а то скоро некого будет сажать”; Берия
Автор фразы: “Пришить бы вас, да возиться некогда”; доцент
Автор, “бегущий по волнам” за своей героиней; Грин
Автор, скрывающий свое имя; аноним
Автор-исполнитель песен; бард
Авторитет из Средней Азии; аксакал
Авторское вознаграждение?; гонорар
Авторское сочинение без комментариев и приложений к нему; текст
Авторучка поэта; стило
Автосиденье; кресло
Автостопщик; турист
Автострада в Германии; автобан
Автотягач с длинным большегрузным крытым или цельным прицепом-кузовом; фура
Агент иностранной разведки или завербованный ею человек; шпион
Агент наружного наблюдения, сыщик, “шпик” в России кон. 19 нач. 20 вв.; филер
Агент страховых организаций; аквизитор
Агент тайной полиции, сыщик; филёр
Агент Охранного отделения в России, который вел слежку; филёр
Агитационная листовка?; прокламация
Агония считается признаком победы смерти, греки же в это слово вкладывали более оптимистичный смысл, считая смерть возможным, но не единственным исходом агонии. Каков же смысл слова?; борьба
Агора по-русски?; собрание
Агрегат тонкочешуйчатого талька; агнезит
Агрегат, устройство; аппарат
Агрессия Германии против СССР (план), 1941 год?; барбаросса
Ад, адский огонь; пекло
Адамово яблоко; кадык
Адамово; ребро
Адат, синоним традиция; обычай
Адвокат, выступавший с речью в течение 45 дней; Апджон
Адекватная плата за зло; месть
Адекватное отображение в сознании воспринимающего того, что существует объективно; истина
Адекватное отражение предметов и явлений действительности познающим; истина
Аджария, порт на Черном м. (столица, центр); Батуми
Адм центр Сев. Каролины; роли
Адм-терр. ед. Греции; ном
Адм. район города в старой России; раздел романа; часть
Адм. район города в старой России; часть
Адм.-тер. ед. царской России; уезд
Адм.-терр. ед. в Болгарии в 1947–69 гг.; околия
Адм.-терр. ед. в России; уезд
Адм.-терр. единица Исландии; сисла
Адм.-терр. единица в Алжире; вилайя
Адм.-терр. единица в Венгрии; медье
Адм.-терр. единица в Германии и Австрии; дорев. альманах; земля
Адм.-терр. единица в Германии и Австрии; земля
Адм.-терр. единица в Кыргызстане; поселок кочевого типа; аил
Адм.-терр. единица в Кыргызстане; аил
Адм.-терр. единица в Монголии; сомон
Адм.-терр. единица в Польше; гмина
Адм.-терр. единица в США; округ
Адм.-терр. единица в Швейцарии; изб. округ во Франции; кантон
Адм.-терр. единица в Швейцарии; кантон
Адм.-терр. единица в некоторых странах; округа
Адм.-терр. единица, подразделение уезда в России?; волость
Админ.-территор. единица Российс. империи; доля
Админ.-территор. единица Российской Империи; край
Админ.-территор. единица в Дании; амт
Админ.-территор. единица в Исландии; сисла
Админ.-территор. единица в Монголии; сомон
Админ.-территор. единица в Непале; ангол
Админ.-территор. единица в Прибалтике; вакус
Админ.-территориальная единица в России, в 20-х гг. 20 в. преобразована в районы; уезд
Администр. район в Шотландии с главным городом Эдинбургом; лотиан
Административная единица в Швеции; пен
Административно-территориальная ед., Австрия, Германия; земля
Административно-территориальная ед., Алжир; вилайя
Административно-территориальная ед., Афганистан; вилаят
Административно-территориальная ед., Венгрия; медье
Административно-территориальная ед., Греция, Др. Египет; ном
Административно-территориальная ед., Иордания, Йемен; лива
Административно-территориальная ед., Исландия; сисла
Административно-территориальная ед., Камбоджа; кхэт
Административно-территориальная ед., Монголия; сомон
Административно-территориальная ед., Польша; гмина
Административно-территориальная единица; штат
Административно-территориальная единица в России до районирования; уезд
Административно-полицейское подразделение уезда в царской России; стан
Административно-территориальная единица в Кыргызстане; айя
Административно-территольная единица в некоторых странах; кантон
Административно-территориальная (федеративная) единица в Австрии и Германии; земля
Административно-территориальная единица (губерния) в Финляндии; ляни
Административно-территориальная единица Болгарии; округ
Административно-территориальная единица Венгрии; медье
Административно-территориальная единица Греции; ном
Административно-территориальная единица Румынии; жудец
Административно-территориальная единица Югославии; срез
Административно-территориальная единица в Албании; рети
Административно-территориальная единица в Алжире; вилайя
Административно-территориальная единица в Андорре; община
Административно-территориальная единица в Афганистане; вилаят
Административно-территориальная единица в Иордании, Йемене; лива
Административно-территориальная единица в Камбодже; кхэт
Административно-территориальная единица в Киргизии; аил
Административно-территориальная единица в Монголии; аймак
Административно-территориальная единица в Норвегии; фюльке
Административно-территориальная единица в Польше; гмина
Административно-территориальная единица в Румынии; уезд
Административно-территориальная единица в Таиланде; ампур
Административно-территориальная единица в Турции; илей
Административно-территориальная единица в Швейцарии?; кантон
Административно-территориальная единица в Якутии; наслег
Административно-территориальная единица внутри страны или большого города; район
Административно-территориальная единица некоторых стран; штат
Административно-территориальная единица царской России; уезд
Административное здание; офис
Административное, политическое, военное, хозяйственное подразделение государственной территории; округ
Административный округ в Древнем Египте; ном
Административный центр Горного Бадахшана в Таджикистане; Хорог
