Водопад в Южной Африке; Тугела
Военное укрепление в составе крепости; форт
Военное укрепление против техники; еж
Военное укрепление?; дзот
Военнослужащий инженерной части; сапер
Военнослужащий инженерных войск; сапер
Военнослужащий инженерных, военно-строительных частей; сапер
Военнослужащий легкой кавалерии в царской и некоторых иностранных армиях; улан
Военнослужащий наемных стрелковых частей в армии султанской Турции; зуав
Военнослужащий одного из видов легкой кавалерии; улан
Военнослужащий одного из родов войск; артиллерист
Военнослужащий саперной части; минер
Военнослужащий, закончивший многолетнюю службу в армии?; ветеран
Военнослужащий, не принадлежащий к начальствующему составу; солдат
Военные действия; стих. М. Лермонтова; роман И. Стаднюка; война
Военные учения оперативно-стратегического масштаба в обстановке, приближающейся к боевой; маневр
Военный вождь племени у др. германцев; герцог
Военный вождь у скандинавских народов, позже – король; конунг
Военный гений нации?; патриотизм
Военный и полярный навигатор, генерал-лейтенант авиации (1943), Герой Советского Союза (1937). Участник высадки группы И. Д. Папанина; Спирин
Военный конвой, охрана, сопровождающая кого-нибудь; эскорт
Военный корабль 17–19 вв.?; корвет
Военный корабль небольшого размера; катер
Военный корабль специального назначения?; заградитель
Военный корабль, ведущий на морских путях самостоятельные операции по уничтожению транспортных судов противника; рейдер
Военный корабль, выполняющий самостоятельные боевые действия на морских и океанских путях; рейдер
Военный корабль; капер
Военный кусок нашей страны; округ
Военный маневр; обход
Военный наблюдательный сторожевой пост; секрет
Военный некоторых частей кавалерии русской армии; драгун
Военный отряд; рота
Военный парусный корабль или океаническая птица; фрегат
Военный парусный трехмачтовый корабль; фрегат
Военный противник, неприятель?; враг
Военный руководящий орган; штаб
Военный способ взять измором; осада
Военный сторожевой корабль; корвет
Военный термин, перекочевавший в сводки Гидрометцентра?; фронт
Военный термин, примененный к непредвиденной неудаче; осечка
Военный трехмачтовый корабль времен парусного флота; шлюп
Военный трофей диких североамериканских индейцев; скальп
Военный человек, воин; солдат
Военный, наглухо застегивающийся пиджак; френч
Военослужащий некоторых отборных пехотных полков?; гренадер
Военспец без права на ошибку?; сапер
Вожак волчьей стаи, приютивший Маугли; Акела
Вожак промышленной контрреволюции; Лудд
Вожделенное заведение накануне получки; касса
Вожди кочевых племен, подчинившиеся колониальным властям; башага
Вождь анабаптистов в Вестфалии; матис
Вождь в фашистских организациях; фюрер
Вождь германского племени свевов (I век до н. э.); Ариовист
Вождь и учитель до 1953 года; Сталин
Вождь племени у древних славян; князь
Вождь семинолов, ставший героем романа американца Майн Рида; Оцеола
Вождь стаи, воспитавшей Маугли; Акела
Вождь у алгонкинов; сахем
Вожжи оленьей упряжки у хантов; уткел
Возбудитель СПИДа; вирус
Возбудитель инфекционных заболеваний?; вирус
Возбуждающее средство, получаемое из некоторых растений; кофеин
Возбуждающее средство; допинг
Возбуждение и помрачение; угар
Возбуждение, неистовство (разг.); раж
Возбужденное состояние, волнение; ажитация
Возбужденное, восторженное состояние?; экзальтация
Возврат денег из кассы, но меньше чем было; сдача
Возвращаемая после покупки часть денег; сдача
Возвышающаяся часть морского дна; банка
Возвышение в нижней части живота над сращением передних костей таза; лобок
Возвышение в храме; амвон
Возвышение в христианском храме; амвон
Возвышение для высокой моды; подиум
Возвышение для натурщика, манекенщиков; подиум
Возвышение для проповедника; амвон
Возвышение для чтения Торы посередине синагоги; бима
Возвышение или площадка на корабле, предназначенная для установки компасов, дальномеров и т. д.; банкет
Возвышение на местности; холм
Возвышение на эстраде; подий
Возвышение перед алтарем в православной церкви; амвон
Возвышение перед иконостасом в храме; солея
Возвышение перед иконостасом для певчих и чтецов; клирос
Возвышение перед иконостасом для чтецов и певцов; солея
Возвышение, на котором совершается часть богослужения и произносятся проповеди в христ. храме; амвон
Возвышение, подмостки; амвон
Возвышение, сцена (в зале, худож. студии, парке и т. п.); подиум
Возвышение, площадка из досок; помост
Возвышенная площадка в церкви перед алтарем; амвон
Возвышенная площадка в церкви перед иконостасом, с которой произносятся проповеди; амвон
Возвышенная равнина с плодородными почвами на юге зоны смешанных лесов; ополье
Возвышенная равнина с плодородными серыми почвами; ополье
Возвышенная равнина с серыми лесными плодородными почвами; ополье
Возвышенная равнина, отделенная от лежащих ниже земель уступом или крутыми склонами; плато
Возвышенность в Молдавии; Кодры
Возвышенность на Ю.-В. Европ. части СССР; Ергени
Возвышенность на Ю.-В. Туркмении; Бадхыз
Возвышенность на правом берегу Волги у Самары; Жигули
Возвышенность, форма рельефа; холм
Возвышенность; гора
Возглаc, призыв; клич
Возглас “Аллилуйя” переводится как ... ?; хвалите бога
Возглас “Пальчики оближешь” – одним словом?; объедение
Возглас архиерея, соверш. рукоположение нового дьякона; аксиос
Возглас курсистки, узнавшей, что она беременна, перед тем как упасть в обморок (устар.); ай
Возглас одобрения, восхищения; браво
Возглас понукания лошадей; но
Возглас публики, требующий от исполнителя повторения; бис
Возглас с “адресом”; оклик
Возглас судьи, означающий, что боксер нокаутирован; аут
Возглас удивления, испуга, страдания; ой
Возглас, выражающий одобрение, восхищение; браво
Возглас, имеющий целью привлечь внимание; оклик
Возглас, зов; клик
Возд. пространство над аэродромом и вблизи него; аэротория
Воздаяние злодею; кара
Воздействие на физ. и психическое состояние самовнушением; аутотренинг
Воздержание от мясн. пищи по пятницам и субботам у католиков; абсистенция
Воздержание от пищи (отсюда слово “пост”); апастия
Воздух, которым дышат жители больших городов; смог
Воздухоносная ткань; аэренхима
Воздухоплавание?; аэронавтика
Воздухоплаватель разума; поэт
Воздухоплаватель; аэронавт
Воздушная лестница; трап
Воздушная навигация; аэронавигация
Воздушная профессия; авиатор
Воздушное пространство в индуистской мифологии; антарикша
Воздушное шествие; парад
Воздушные средства передвижения, воздушный флот; авиация
Воздушный абордаж; таран
Воздушный вокзал; аэропорт
Воздушный дух в западноевр. мифологии; сильф
Воздушный змей, загримировавшийся под самолет; планер
Воздушный шар со специальным прибором для метеорологических наблюдений; зонд
Воззвание, обращение, лозунг; призыв
Воззрение, мнение, суждение; взгляд
Воззрение, отвергающее всякие религиозные верования; атеизм
Воззрение, ставящее в центр всего мироздания индивидуальное “я” человека?; эгоцентризм
Воззрение, что человек есть центр Вселенной; антропоцентризм
Возле кости вкуснее; мясо
Возлюбленная Абеляра; Элоиза
Возлюбленная Геракла; Иола
Возлюбленная Ленского; Ольга
Возлюбленная Петрарки?; Лаура
Возлюбленная Пушкина, в честь которой названа аллея в Михайловском?; Керн
Возлюбленная в рус. фольклоре; лада
Возлюбленная из русских частушек; милка
Возлюбленный Галатеи; Акид
Возлюбленный Джульетты; Ромео
Возмездие?; кара
Возможен на бирже, в горах, в шахте; обвал
Возможная опасность; угроза
Возможности, которые используются в случае необходимости; резерв
Возможность возникновения неприятных действий, событий; угроза
Возможность действовать; право
Возможность невозможного; сказка
Возможность опасности, неудачи; риск
Возможность охватить взором какое-нибудь пространство; обзор
Возможность пользования чем-либо; право
Возможность пройти там, где проход запрещен; лаз
Возможность проникнуть куда-нибудь; доступ
Возможный исход матча; победа
Возможный исход футбольной встречи; ничья
Возмужавшая щетина; борода
Возмужавший Бемби; олень
Вознаграждение брокеру за сделку, уплачиваемое как продавцом, так и покупателем; куртаж
Вознаграждение за услуги?; гонорар
Вознаграждение маклеру за посредничество при совершении сделки?; куртаж
Вознаграждение маклеру при совершении биржевой сделки; куртаж
Возникновение в веществе намагниченности под действием внешнего давления?; пьезомагнетизм
Возникновение дубля сообщения; повтор
Возникновение связи между поверхностными слоями двух разнородных тел при соприкосновении; адгезия
Возница на лошадях в старину; ямщик
Возраст женщины, о котором говорил Бен Бенцианов: “Женщину в ... лет не вгонишь, а из ... не выгонишь”; сорок
Возраст, года; лета
Возчик соли из Крыма на Украину в 16–19 в.; чумак
Возчик соли на горных промыслах; фурщик
Возчик соли, рыбы из Крыма на Украину; чумак
Возьмем две целых, семь десятых, вспомним два раза, когда родился Лев Толстой, да не забудем при этом про углы прямоугольного равнобедренного треугольника. Что же мы получим в итоге?; число е
Возьму пыльно, сделаю жидко, брошу в пламень – будет как камень (загадка); пирог
Воин Древней Руси XIII в.; лучник
Воин в латах?; латник
Воин в ополчении Древней Руси; ратник
Воин в средневековой армии; лучник
Воин запаса в царской России; ратник
Воин княжеской дружины?; ратник
Воин легкой конницы, вооруженный пикой; улан
Воин на службе феодала в Монголии, Ср. Азии; позже слово приобрело значение “слуга”; нукер
Воин с автоматом; автоматчик
Воин, боец; солдат
Воин, солдат; ратник
Воин-ополченец в старой России; ратник
Воин; тот, кто активно борется за победу; рабочий на скотобойне; боец
Воин?; витязь
Воин; боец
Воинская группа, обслуживающая орудие, пулемет; расчет
Воинская единица; взвод
Воинская часть или подразделения, перевозимые в поезде (или на судне); эшелон
Воинская часть; полк
Воинские формирования, предназначенные для создания новых и усиления действующих группировок?; резерв
Воинский доклад; рапорт
Воинский отряд для сопровождения транспорта?; конвой
Воинский поезд; эшелон
Воинский строй шеренгой?; фронт
Воинское задание, поручаемая военнослужащему работа; наряд
Воинское звание (от араб. “амир аль”)?; адмирал
Воинское звание Швейка; солдат
Воинское звание в военно-морском флоте?; адмирал
Воинское звание в военно-морском флоте; мичман
Воинское звание в русской армии 17–19 вв.; капрал
Воинское звание высшего офицерского состава; адмирал
Воинское звание выше генеральского, присваиваемое за выдающиеся заслуги в руководстве войсками, а также лицо, имеющее это звание; маршал
Воинское звание выше генеральского; маршал
Воинское звание, чин; денщик
Воинское звание; майор
Воинское отличие; звание
Воинское подразделение НАМИБ; наряд
Воинское подразделение, несущее внутреннюю или караульную службу; наряд
Воинское подразделение, несущее охрану; караул
Воинское подразделение; 11-й президент США; адм.-террит. единица на Украине (16–18 вв.); полк
Воинское подразделение; законченное вычисление; расчет
Воинское подразделение; армия
Воинское сопровождение при погребении военнослужащих; эскорт
Воинственно-угрожающее состояние; агрессивность
Воинственный сын Зевса и Геры; арес
Войлок в оружейном патроне; пыж
Войлок под седлом или седелкой; потник
Войлоч. шатер у народов Ср. Азии и Кавказа; алачыг
Войлочн. шатер эллиптич. формы у тюркоязычн. народов; алачик
Войлочные сапоги; бурки
Войлочный ковер из верблюжьей или овечьей шерсти; кошма
Войлочный колпак, носимый русскими крестьянами; яломок
Война за веру у мусульман; джихад
Война со своим здоровьем?; пьянство
Войска, высаженные на территорию противника; десант
Войска, обороняющие опорный пункт, крепость?; гарнизон
Войско захватчиков; орда
Войско, создаваемой в помощь регулярной армии?; ополчение
Войсковая хозяйственная группа повозок; обоз
Войсковое объединение; армия
Войсковое подразделение Запорожской Сечи и его жилые помещения; курень
Войсковое подразделение; сотня
Войсковой атаман Донского казачьего войска, участник Отечественной войны 1812 г.; Платов
Вок.-инстр. ансамбль; пламя
Вокалист “золотого состава” группы “Deep Purple”; Гиллан
Вокалист во время сна; храпун
Вокалист группы “U-2”; Боно
Вокалист и клавишник из знаменитого шведского квартета “ABBA”; Андерссон
Вокалистка в сопровождении хора?; солистка
Вокальная или инструментальная муз. пьеса задумчивого, печального характера; элегия
Вокальная партия в римской комедии; кантик
Вокально-инструментальный ансамбль, результат “самовозгорания” “Самоцветов”; пламя
Вокально-инструментальный ансамбль; орэра
Вокально-иструментальный жанр в музыке Азербайджана; мугам
Вокальное искусство; пение
Вокальное произведение для одного голоса; ария
Вокальное произведение для трех голосов; терцет
Вокальный ансамбль из трех исполнителей, например, в опере; терцет
Вокальный ансамбль, выпестовавший Вахтанга Кикабидзе; орэра
Вокруг могилки; ограда
Вокруг этого маленького черного предмета кипят страсти на хоккейной площадке; шайба
Воланд Фауста?; Мефистофель
Рос. волейболист; Зайцев
Волейболист и хоккеист в одном лице (фамилия); Якушев
Волейбольная пограничница; сетка
Волк в латинском звучании поговорки “Человек человеку – волк”; люпус
Волк-одиночка?; бирюк
Волна от землетрясения; цунами
Волна с барашком пены, разбивающаяся у скал; бурун
Волна-гора?; цунами
Волнение в море, похоже на движение пов-ти кипящей воды; судой
Волнение перед экзаменами; трепет
Волнения, беспорядки на старинный лад; смута
Волнистая поверхность материала; гофр
Волнообразные ритмические сокращения стенок органов пищеварения?; перистальтика
Волнорез; мол
Воловик, травянистое растение, сорняк; анхуза
Волога; уха
Вологодская обл. (город); Тотьма
Волокита; бабник
Волокнистая ткань некоторых растений, идущая на выделку пряжи; луб
Волокнистая ткань растений, по которой перемещаются органические вещества; луб
Волокнистая часть льна; кудель
Волокнистый минерал, теплоизолятор; асбест
Волокнистый минерал, широко применяющийся благодаря своей огнестойкости, неэлектропроводности, кислото- и щелочеупорности; асбест
Волокнистый распушенный материал, употребляемый в медицине, для утепляющих прокладок; вата
Волокнистый светлый огнеупорный минерал класса силикатов; асбест
Волокно из конопли; пенька
Волокно из листьев агавы (изгот. грубые ткани, веревки); сизаль
Волокно льна для пряжи; кудель
Волокно, получаемое из плодов хлопчатого дерева; капок
Волокно, употребляемое при изготовлении пряжи; хлопок
Волосатая протекция; рука
Волосатый нагубник; усы
Волость у калмыков, бурятов и якутов в старой России; улус
Волость у тюрков; улус
Волосы над верхней губой у мужчин; донской казак, соратник Степана Разина; ус
Волосы над верхней губой у мужчин; ус
Волосы над верхней губой; усы
Волосы, игнорирующие закон роста; парик
Волосяной покров Земли; флора
Волосяной покров животного; шерсть
Волосяной покров на нижней части лица у мужчин; борода
Волочащаяся сзади удлиненная часть подола женского платья; шлейф
Волочащийся край дамского платья?; шлейф
Волчий аппетит; жор
Волчий блюз на луну; вой
Волчий лидер; вожак
Волчник, травянистое растение; дафна
Волчок; юла
Волчья толпа; стая
Волшебник, чародей, фокусник; маг
Волшебник, чародей; колдун
Волшебник; волхв
Волшебница в греч. мифологии; лютеранский храм; кирка
Волшебница в греч. мифологии; Кирка
Волшебница в греческой мифологии, образ которой получил отражение в литературе и искусстве; Медея
Волшебница, отвергшая любовь Черномора (пушкинское); Наина
Волшебное золотое руно по своей прагматической сути; овчина
Волшебный взмах рукой; пасс
Вольная птичка; пташка
Вольноотпущенный холоп в России 11–12 вв.; изгой
Вольные каменщики, члены религиозно-этического движения, созданного в 18 в. по подобию тайных средневековых духовных орденов и цехов; масоны
Вольтер был там дважды. Курьезно, но туда умудрилась попасть Французская энциклопедия. А имя она носила Святого Антония. Что это?; Бастилия
Вольтер как критик религии; еретик
Вольфганг...; Гёте
Воображаемая параллель, отстоящая к северу и к югу от экватора; тропик
Воображаемая прямая линия; ось
Вообще отдающий; донор
Вообще часть какой-либо площади, ограниченная радиальными линиями; сектор
Вообще-то это служитель, хотя можно подумать, что едок. Кто же это?; жрец
Воодушевление, подъем, энтузиазм; пафос
Воодушевление, полное страсти; пафос
Воодушевление, энтузиазм; пафос
Вооруж. восстание, бунт; мятеж
Вооружение знаменитой мурки; наган
Вооруженная борьба двух противников по вызову одного из них, в присутствии секундантов; дуэль
Вооруженная борьба между государствами или народами, между классами внутри государства; война
Вооруженная карточная масть?; пики
Вооруженное частное судно, с разрешения властей пиратствующее во время войны на торговых коммуникациях противника; капер
Вооруженные нападения, диверсии, убийства и т. п., осуществляемые в политических целях; террор
Вооруженные силы государства; войско
Вооруженные силы пролетариата во время Октябрьской революции?; красная гвардия
Вооруженный отряд для охраны; конвой
Вооруженный отряд, сопровождающий кого-нибудь или что-нибудь для охраны; конвой
Воплощение счастья, удачи; доля
Вопреки распространенному мнению, это членистоногое не относится к насекомым; скорпион
Вопрос (антоним); стих. М. Лермонтова; ответ
Вопрос (антоним); ответ
“Вопрос нередко слышу я: о ком твоя вздыхает ... Кому, в толпе ревнивых дев, Ты посвятил ее напев” (Онегин); лира
Вопрос трудный: что собою по сути представляет китайский шинц?; ситец
Вопросник как материал социологических исследований; тест
Вор, мелкий мошенник; жулик
Вор?; тать
Воробьиный шаг; скок
Воровская жизнь, преступная среда; блат
Воровская квартира, воровской притон; малина
Воровской диалект; арго
Воровской жаргон; феня
Воровской притон; малина
Воровство в Др. Руси; утаск
Воровство; пьеса Дж. Лондона; повесть Астафьева; кража
Воровство; кража
Ворон, 10 мм в др.-русском счете; вран
Ворон, своим криком предсказывающий несчастье; вещун
Воронежская обл., на р. Битюг (город); Бобров
Вороний крик; кар
Воронкообразное углубление вулканического происхождения; маар
Воронкообразный ящик на мельницах; насып
Ворот на носу лодки для каната (Даль); абня
Ворота (устар.); врата
Ворота шлюза; створ
Воротник или рубашка; апаш
Ворошилов; клим
Ворс на ткани, трикотажных изделиях; начес
Вос. Румыния, адм. ц. жудеца Бакэу (город в Европе); Бакэу
Восемь нот; октава
Восемь участников коллективного музицирования; октет
Воск, выделяемый тропич. насекомыми, применяется в спиртовых лаках; шеллак
Воскликните на латыни “пусть живет”; виват
Восклицание, выражающее одобрение, восхищение; браво
Восклицание, выражающее радость, удовлетворение при найденном решении сложной задачи; эврика
Восклицание, заканчивающее молитву; амен
Восклицание, означающее “безвыходное положение, конец, смерть”?; амба
Восклицание, означающее безвыходное положение, конец, смерть?; амба
Восклицание, призыв; клич
Восковая ячейка, в которую пчела собирает мед; сота
Восковница, травянистое растение; мирика
Восковые постройки пчел; соты
Воскоподобное вещество, используемое в парфюмерии как закрепитель духов; амбра
Воскоподобное вещество, образующееся в пищевом тракте кашалота; употребляется в парфюмерии для придания стойкости запаху духов; амбра
Воскресение из мертвых, страшный суд в исламе; киемат
Воскресение мертвых в исламе; кияма
Воскресная авторская телепрограмма, по которой хорошо видно, от кого зависит НТВ; итоги
Воскресная программа на НТВ; итоги
Воспал-е кожи на ноге лошади; личинка комара; мокрец
Воспал-е кожи на ноге лошади; мокрец
Воспаление вен?; флебит
Воспаление внутренней оболочки сердца?; эндокардит
Воспаление лимфатич. узлов; аденит
Воспаление миндалин; ангина
Воспаление мочевого пузыря; цистит
Воспаление мускула в рез-те ушибов, разрывов, ревматизма; миозит
Воспаление нервов; неврит
Воспаление паутинной оболочки головного и спинного мозга; арахноидит
Воспаление радужной и сосудистой оболочек глаза; увеит
Воспаление слизистой оболочки какого-нибудь органа; катар
Воспаление слизистой оболочки, умудрившееся стать государством; катар
Воспаление среднего уха; отит
Воспаление стенок аорты; аортит
Воспаление стенок артерии; артериит
Воспаление сустава; артрит
Воспаление суставов?; артрит
Воспаление уха; отит
Воспаление червеобразного отростка слепой кишки; аппендицит
Воспалительн. ободок язвы; пигментированный кружок вокруг соска; ареола
Воспалительное заболевание суставов?; артрит
Воспалительный ободок язвы; ареола
Воспетый Шевченко крепостной, персонаж “Гайдамаки”; Гонта
Воспитание розгами?; битье
Воспитанник военного учебного заведения (в дорев. России для детей дворян и офицеров); кадет
Воспитанник военного учебного заведения – кадетского корпуса?; кадет
Воспитанник военного училища в дореволюционной России; кадет
Воспитанник военного училища в царской России; юнкер
