Негодная вещь, вещи; шваль
Незаконченная картина Ивана Крамского; хохот
Незаконченная поэма А. Пушкина; тазит
Незакрепощ. крестьянин-общинник в феодальном Дагестане; уздень
Незаменимая аминокислота, входящая в состав белка; лизин
Незаменимая штука, если вы пытаетесь сделать дыру в своей стене; дюбель
Незаполненное место в тексте, промежуток; пробел
Незасеянное поле; пар
Незатухающие колебания в нелинейной динамической системе; автоколебания
Нездоровый интерес; ажиотаж
Неземное создание; ангел
Незрелый виноград или его сок, компонент азербайджанской кухни; абгора
Неидущая к Магомеду; гора
Неизбежный атрибут обороны; окоп
Неизбежный спутник пути в неизвестное; риск
Неизвестное в математике; икс
Неизложенное чувство (по Михаилу Светлову)?; лирика
Неизменное положение, принимаемое на веру; догма
Неимущий человек; бедняк
Неискренний комплимент; сироп
Неискренность, лицемерие; фальшь
Неиспользованная часть средств?; остаток
Неистовый болельщик; фанат
Неистребимый сорняк полей и огородов; осот
Некая емкость, которую так любят “медвежатники”; сейф
Некая таинственная субстанция, эманация человеческой души; аура
Некий писатель взял псевдоним Вали-Алла-Шах-Кызыл-Оглы-Верды. А какова его настоящая фамилия?; Вашков
Неклеточная форма жизни; вирус
Некогда в русском языке эта очень важная персона именовалась в два раза длиннее, чем сейчас. Назовите или покажите ее; я
Некогда популярная здравница в Крыму; артек
Некогда популярный молодежный журнал; смена
Некогда река, впадающая в океан недалеко от Форта Росс, называлась Славянкой. А как ее называют сейчас?; Русская
Некондиционный товар; брак
Некоторые из них тикают, другие кукуют; часы
Некоторые из них, особенно в Москве, имели свою кличку применительно к происхождению или звуку: Реут, Медведь, Немчин, Широкий, Глухой, Годунов. А какой самый известный из них?; Царь-колокол
Некоторые матросы и старшины с 1943 г. носят бескозырки с лентой в черно-оранжевых полосках, что соответствует расцветке ленты ордена Славы. С каких кораблей эти матросы? “с ...”; гвардейских
Некоторые партийцы колебались вместе с ней; линия
Некоторые преступления совершаются на; пари
Некоторый размер, пропорционально которому выбираются остальные (в строительстве, а также в машиностр.); модуль
Некоторых из них англичане называют длинноногим дядюшкой (daddy-long-legs). О ком так говорят англичане? “о ...”; пауках
Некрепкий орешек?; арахис
Некрепкое яблочное вино; сидр
Некультурное лицо; рожа
Нелегальное революционное собрание рабочих в дореволюционной России; маевка
Нелегкий путь по жизни?; юдоль
Нелепая причуда, дурь; блажь
Нелепость, глупость, вздор; ерунда
Нелепость, глупость, ерунда, чепуха; вздор
Нелепость; аляповатость
Нелетающие птицы Новой Зеландии; киви
Неловкое и смешное положение; конфуз
Нелогичность, несовместимость с требованиями логики; алогизм
Нелогичность; алогизм
Нельзя, для полинезийцев; табу
Нелюбовь, ненависть к людям, отчуждение от них?; мизантропия
Нелюбый жених Пидорки из гоголевского “Вечера накануне Ивана Купалы”; лях
Нелюдимый человек; бука
Нем. авиаконструктор и промышленник; Дорнье
Нем. актер театра; Моисси
Нем. алхимик, специалист по фарфору; Бетгер
Нем. архитектор 17–18 вв., работал в России; Шлюгер
Нем. архитектор; Нейман
Нем. астроном и математик 16 века; Ретик
Нем. астроном, открыл астероид Икар; Бааде
Нем. астроном; Аргеландер
Нем. аэролог; Асман
Нем. биохимик (ГДР); Мотес
Нем. бульдог; боксер
Нем. вождь и идеолог Крест-ой войны и Реформации в Германии; Мюнцер
Нем. врач, изобрел ирригационн. кружки; Эсмарх
Нем. гений, вдохновивший поляка Ярослава Ивашкевича на написание монографии; Бах
Нем. гений, воспетый нашим поэтом Осипом Мандельштамом; Бах
Нем. географ 19 века; Риттер
Нем. географ и путешественник, в 1492 г. создал глобус; Бехайм
Нем. город и река; Рекниц
Нем. город, давший название одеколону; Кельн
Нем. город, славящийся мозельскими винами; Трир
Нем. дирижер; Абендрот
Нем. египтолог и писатель XIX в., автор исторических романов; Эберс
Нем. жив-ец и график, триптих “Война”; Дикс
Нем. живописец и график, теоретик искусства, представитель раннего романтизма; Рунге
Нем. зоолог (“Жизнь животных”); Брем
Нем. и австр. кинорежиссер; Пабст
Нем. и амер. киноактриса; Дитрих
Нем. изобретатель; Бенц
Нем. импрессионист; Коринт
Нем. инженер; Нипков
Нем. искусств. спутник; Аэрос
Нем. историк 19 в. католического направления; Янсен
Нем. историк и теоретик музыки, композитор, автор первой научной монографии о Бетховене; Маркс
Нем. кинореж. (“Нибелунги”, “Метрополис”); Ланг
Нем. коммунист, казнен; Якоб
Нем. композитор 19 в.; Вагнер
Нем. композитор и органист; Бах
Нем. композитор и эстрадный певец; Болен
Нем. композитор, автор гимна, педагог; Эйслер
Нем. композитор, автор опер “Волшебная скрипка”, “Пер Гюнт”; Эгк
Нем. композитор, автор оперы “Кавалер с розой”; Штраус
Нем. композитор, автор оперы “Летучий голландец”; Вагнер
Нем. композитор, написавший оперу “Тангейзер”; Вагнер
Нем. композитор, пианист и дирижер 19 века; Брамс
Нем. композитор; Вейль
Нем. конструктор 19 в. (4-х тактный двиг.); нем. пловчиха; Отто
Нем. конструктор 19 в. (4-х тактный двиг.); Отто
Нем. конструктор стрелкового оружия; Маузер
Нем. конструктор, создавший 4-тактный двигатель внутреннего сгорания; Отто
Нем. математик (основные идеи топологии); Риман
Нем. математик (фунд. теорема теор. физики); Нетер
Нем. математик, с именем которого связано многомерное обобщение эвклидовой геометрии; Риман
Нем. математик, придумавший бутылку с горлышком, входящим в четвертое измерение; Клейн
Нем. математик; ед. магнитной индукции; Гаусс
Нем. математик; Гаусс
Нем. микробиолог, открывший возбудитель туберкулеза; Кох
Нем. мисс; фрау
Нем. музыковед; Аберт
Нем. натуралист и путешественник по России 18 и 19 вв.; Паллас
Нем. нацистский лидер, заместитель Гитлера по партии, приговоренный к пожизненному заключению; Гесс
Нем. оккультный мыслитель и писатель 17 века, автор утопии “Крепость Христа, или Описание республики Христианополь”; Андрее
Нем. оперная певица 19 в.; Зонтаг
Нем. пис-ца, “7 крест”, “Транзит”, “Решение”, “Доверие”, “Мертвые остаются молодыми”; Зегерс
Нем. писатель, Ноб. лауреат; Белль
Нем. писатель, автор книги “Приключения барона Мюнхгаузена”; Распе
Нем. писатель, автор романа “Время жить и время умирать”; Ремарк
Нем. писатель, автор романа “Лейтенант Бертрам”; Узе
Нем. писатель, автор романа “Урок нем.” (1968); Ленц
Нем. писатель, автор сказки “Карлик-Нос”; Гауф
Нем. писатель, автор юмористической повести “Хроника воробьиной улицы”; Раабе
Нем. писатель, лауреат Нобелевской премии по литературе (1929); Манн
Нем. писатель, рев-ер; Бюхнер
Нем. писатель, режиссер; Брехт
Нем. писатель-гуманист; Брант
Нем. писатель; польский кинорежиссер; Гофман
Нем. писатель; рус. физик; Ленц
Нем. писатель; Айх
Нем. писательница, автор романа “Мертвые остаются молодыми”; Зегерс
Нем. писательница, сестра К. Брентано; Арним
Нем. писательница-антифашистка; Зегерс
Нем. полководец в Тридцатилетней войне; Тилли
Нем. полководец в армии северян США; Аннеке
Нем. поэт – антифашист; Целан
Нем. поэт, драматург 18–19 вв.; Шиллер
Нем. поэт, переводы из которого сделал В. Жуковский; Бюргер
Нем. поэт, автор книги “Корабль дураков”; Брант
Нем. поэт; Гейне
Нем. пролетарский поэт; Веерт
Нем. психолог; Клагес
Нем. рабочий, философ, материалист; Дицген
Нем. религиозный философ, врач – 18–19 в.; Баадер
Нем. скульптор Возрождения; физик и математик; оберт. бумага; Крафт
Нем. скульптор Возрождения; Крафт
Нем. скульптор, график, писатель; Барлах
Нем. средневековый анекдот; Шванк
Нем. теннисист; Беккер
Нем. теннисистка; дворянский титул; Граф
Нем. типограф и издатель; П. драматург (“Амадей”); Шеффер
Нем. типограф и издатель; Шеффер
Нем. ученый, осн-ик физиологии; Мюллер
Нем. физик, Нобелевская премия 1911 г.; Вин
Нем. физик, который переворачивается в гробу, когда студенты сдают экзамены по электротехнике. Неизв; Ом
Нем. физик, лауреат Нобелевской премии; Планк
Нем. физик, психолог, философ, сатирик; Фехнер
Нем. физик, ставший единицей магнитного потока; Вебер
Нем. физик-атомщик, которого разрабатывал Штирлиц; Рунге
Нем. физик; Бете
Нем. физикохимик, ин. чл. Петерб. АН, почет. чл. АН СССР; Тамман
Нем. физиолог, Ноб. пр.; швейц. писатель (“Андорра”); Фриш
Нем. физиолог, Ноб. пр.; Фриш
Нем. филолог, исследователь поэзии трубадуров; Диц
Нем. философ 19 в.; деталь книги; город в Кыргызстане; Кант
Нем. философ, врач и естествоиспытатель; Баадер
Нем. философ, социолог, музыковед; Адорно
Нем. философ-идеалист; Липпс
Нем. философ; Баур
Нем. фирма эл.-быт. товаров; бош
Нем. фирма; адидас
Нем. химик и биохимик, Ноб. премия 1938 г.; Кун
Нем. химик, ин. чл. Петерб. АН с 1800 г.; Рихтер
Нем. химик, создатель первой промышленной установки синтеза аммиака; Бош
Нем. химик-органик, лауреат Нобелевской премии; Дильс
Нем. химик-органик; Арндт
Нем. химик-технолог; нем. фирма эл.-быт. товаров; Бош
Нем. химик-технолог; Бош
Нем. химик; Абегг
Нем. хирург; подворная подать с крестьян в Молдавии; Бир
Нем. хирург; Бир
Нем. хищник, лязгающий гусеницами; ягуар
Нем. художник 15–16 вв.; Кранах
Нем. художник эп. Возрождения; Дюрер
Нем. художник; Блехен
Нем. шахматный мастер; Каро
Нем. юрист; Людвиг
Нем.-ам. философ и логик (аналитич. философия); Карнап
Нем.-чеш. архитектор 14 в., Карлов мост в Праге; Парлер
Нем.: поэтесса, Ноб. пр. 1966 г.; музыковед; Закс
Нем. археолог, проводил раскопки Трои, Микен; Шлиман
Нем. компания, впервые синтезировавшая аспирин; Байер
Нем. математик, удост-й ст. доктора в 12 лет; росс. граф; Витте
Нем. математик, удост-й ст. доктора в 12 лет; Витте
Нем. физик, измеривший скорость теплового движения молекул газа; Штерн
Нем. химик (1887–1958), установил абс. возраст метеоритов; Панет
Нем. химик, с 1956 проф. Высшей техн. шк. в Лейна-Мерзебурге; Эмонс
Нем. химик-органик, автор мн. нововведений в хим. технологию; Рихе
Нем. химик-органик, спец. по химии ацетилена (1892–1969); Реппе
Нем. химик-органик, чл. АН. ГДР с 1977; Ретч
Нем. химик-органик, открыл хинин (1819), кофеин, пурпурин; Рунге
Нем. языковед, создатель “Этимологическ. словаря русск. яз.”; Фасмер
Немаловажная деталь огнестрельного оружия; прицел
Немейские, Пифийские, Истмийские. Назовите четвертые; Олимпийские
Немец, назвавший любовь “зубной болью в сердце”; Гейне
Немец, изобретатель воздушного насоса; Герике
Немец. математик XIX в., гордившийся своим званием “короля инвариантов”; Гордан
Немецк. барон, выпустивш. в 1819 г. колоду политич. карт; Аретина
Немецк. космонавт; Фладе
Немецк. название ружья с вертикальн. расположением стволов; Бокк
Немецк. резчик монетных штемпелей 18 в., работал в С.-Петерб.; Вехтер
Немецк. физик, Нобелевск. лауреат 1919 г.; Штарк
Немецк. химик-органик, президент Немецкого хим. об-ва (1907); Гребе
Немецкая водка; шнапс
Немецкая золотая и серебряная монеты 14–19 в.; талер
Немецкая марка автомобиля; ауди
Немецкая писательница, автор романа “Мертвые остаются молодыми”; Зегерс
Немецкая поэтесса (Нобелевская премия 1966); Закс
Немецкая поэтесса. Нобелевская премия (1966); Закс
Немецкая река; Рик
Немецкая теннисистка; Граф
Немецкие писатели, филологи, братья 19 века; Гримм
Немецкие ракеты; фау
Немецкие рыцари, члены духовно-рыцарского ордена?; меченосцы
Немецкий автор оперы “Парсифаль”, “Риенци”, “Тангейзер”; Вагнер
Немецкий автор оперы “Тристан и Изольда”, “Эгмонд”; Вагнер
Немецкий актер, руководивший театром в Готе; Экгоф
Немецкий археолог и нумизмат (1868–1947); Геблер
Немецкий астроном 18 в.; Кис
Немецкий астроном; Ауверс
Немецкий биолог; Ру
Немецкий биофизик. Нобелевская премия (1988, совместно с Дайзенхофером и Хубером); Михель
Немецкий биофизик. Нобелевская премия (1991; совместно с Закманом); Неэр
Немецкий биохимик. Нобелевская премия (1964, совместно с К. Э. Блохом); Линен
Немецкий биохимик. Нобелевская премия (1988, совместно с Дайзенхофером и Михелем); Хубер
Немецкий врач и биофизик. Нобелевская премия (1991, совместно с Э. Неэром); Закман
Немецкий врач, бактериолог и биохимик. Нобелевская премия (1908, совместно с И. И. Мечниковым); Эрлих
Немецкий врач, невропатолог; Эрб
Немецкий врач, бактериолог и биохимик, Нобел. премия 1908; Эрлих
Немецкий географ 19 века; Риттер
Немецкий драматург, автор пьесы “Мамаша Кураж и ее дети”; Брехт
Немецкий женский журнал мод; прамо
Немецкий живописец, картина “Пустите детей ко мне”; Уде
Немецкий живописец-экспрессионист; Макке
Немецкий живописец; Кифер
Немецкий зоолог, автор книги “Жизнь животных”; Брем
Немецкий и американский философ (1906–75); Арендт
Немецкий иммунолог. Нобелевская премия (1984, совместно с Мильштейном); Келер
Немецкий император Фридрих Ротбарт Штауфен известен благодаря своему прозвищу, довольно распространенному во все века. Как мы его знаем?; Барбаросса
Немецкий инженер, погиб при проведении эксперимента; Валье
Немецкий историк античности; Белох
Немецкий историк и теоретик музыки, композитор, автор первой научной монографии о Бетховене; Маркс
Немецкий канцлер; Коль
Немецкий кинорежиссер (“Палачи тоже умирают”); Ланг
Немецкий классик. Из-за двух неудачных операций по удалению катаракты он полностью потерял зрение. Дней за десять до смерти он неожиданно прозрел, но затем с ним случился удар, сведший его в могилу; Бах
Немецкий композитор, автор оперы “Валькирия”?; Вагнер
Немецкий композитор, автор песни “Коминтерн”; Эйслер
Немецкий композитор, оперы: “Леонора”, “Фиделио”?; Бетховен
Немецкий композитор; Орф
Немецкий конструктор двигателя внутреннего сгорания; Отто
Немецкий математик (19 в.); Гарнак
Немецкий математик; Гаусс
Немецкий медальер, автор монетных штемпелей Ганновера 19 в.; Бремер
Немецкий микробиолог, иммунолог. Нобелевская премия (1901); Беринг
Немецкий микробиолог. Нобелевская премия (1905); Кох
Немецкий мистик; Сузо
Немецкий музыкант; Шютц
Немецкий оружейник, конструктор пистолета “Парабеллум”; Люгер
Немецкий оружейник, придумавший игольчатое ружье, позже вытесненное винтовкой; Дрейзе
Немецкий пастор Шлаг по советскому паспорту; Плятт
Немецкий патолог и микробиолог. 1934. Нобелевская премия (1939); Домагк
Немецкий писатель (“Единорог”)?; Вальзер
Немецкий писатель, австрийский композитор, опера “Ундина”; Гофман
Немецкий писатель, автор романа “Дом под дождем”; Нахбар
Немецкий писатель, лауреат Нобелевской премии по литературе; Белль
Немецкий писатель, роман “Приключения Вернера Хольта”; Нолль
Немецкий писатель-гуманист; Брант
Немецкий писатель. Нобелевская премия (1910); Хейзе
Немецкий писатель. Нобелевская премия (1972); Белль
Немецкий поэт 17 в.; Опиц
Немецкий поэт XIX века; Гейне
Немецкий поэт, автор “Фауста”; Гёте
Немецкий поэт, на стихи которого написана песня “Варяг”; Грейнц
Немецкий поэт?; Гёте
Немецкий правовед, библиограф и нумизмат (1653–1705); Бегер
Немецкий резчик монетных штемпелей и медальер 18–19 вв.; Абрагамсон
Немецкий резчик монетных штемпелей и медальер 18 в.; Абрагам
Немецкий священник и нумизмат 18 в., автор двухтомного труда; Вайзе
Немецкий теннисист; Беккер
Немецкий ученый, естествоиспытатель?; Гумбольдт
Немецкий ученый, лауреат Нобелевской премии по физиологии и медицине; Эрлих
Немецкий ученый, лауреат Нобелевской премии по химии; Габер
Немецкий ученый, участник создания 1-го американского спутника; Оберт
Немецкий ученый?; Гаусс
Немецкий фельдмаршал, плененный в Сталинграде; Паулюс
Немецкий фигурист, именем которого назван прыжок в фигурном катании на коньках; Аксель
Немецкий физик 18–19 вв.?; Ом
Немецкий физик 20-го века; Ремке
Немецкий физик и астрофизик (1826–1908); Риттер
Немецкий физик и физикохимик, Нобелевск. премия 1920; Нернст
Немецкий физик и химик; Ахард
Немецкий физик, Нобелевская премия (1914); Лауэ
Немецкий физик, который заколебался раз в секунду?; Герц
Немецкий физик, лауреат Нобелевской премии; Вин
Немецкий физик, открывший в 1826 году главный закон электротехники; Ом
Немецкий физик-теоретик, один из создателей квантовой механики. Нобелевская премия (1954); Борн
Немецкий физик-теоретик, ученик М. Борна; Хунд
Немецкий физик. Нобелевская премия (1905); Ленард
Немецкий физик. Нобелевская премия (1909, совместно с Г. Маркони); Браун
Немецкий физик. Нобелевская премия (1919); Штарк
Немецкий физик. Нобелевская премия (1925, совместно с Г. Герцем); Франк
Немецкий физик. Нобелевская премия (1925, совместно с Дж. Франком); Герц
Немецкий физик. Нобелевская премия (1954); Боте
Немецкий физик. Нобелевская премия (1986, совместно с Г. Биннигом и Г. Рорером); Руска
Немецкий физик. Нобелевская премия (1986, совместно с Э. Руской и Г. Рорером) за создание растрового туннельного микроскопа; Бинниг
Немецкий физик. Нобелевская премия (1989, совместно с Х. Дж. Демелтом); Пауль
Немецкий физикохимик (1869–1953); Митташ
Немецкий физикохимик (1891–1973); Эггерт
Немецкий физикохимик, конструктор вискозиметра; Траубе
Немецкий физикохимик, ввел (1930) термин “химич. физика”; Эйкен
Немецкий физикохимик. Нобелевская премия (1920); Нернст
Немецкий физикохимик. Нобелевская премия (1967, совместно с Р. Норришем и Дж. Портером); Эйген
Немецкий физикохимик; Бредиг
Немецкий физиолог. Нобелевская премия (1973, совместно с К. Лоренцем и Н. Тинбергеном); Фриш
Немецкий философ, с которым однажды позавтракал Булгаковский Воланд; Кант
Немецкий философ-идеалист, призывал “назад, к Канту”; Либман
Немецкий философ. Нобелевская премия по литературе (1908); Эйкен
Немецкий философ; Кант
Немецкий химик (1838–1906); Лоссен
Немецкий химик (1845–1883); Реймер
Немецкий химик (1848–1889); Тиман
Немецкий химик (1850–1902); Пехман
Немецкий химик (1853–1923); Бекман
Немецкий химик (1858–1933); Элбс
Немецкий химик (1863–1929); Кюстер
Немецкий химик (1880–1935); Эмде
Немецкий химик (1889–1935); Тропш
Немецкий химик 19 в., открыл цезий и рубидий; Бунзен
Немецкий химик 19 в.; Велер
Немецкий химик и врач, медик курфюрстов; Бехер
Немецкий химик и минералог, ученик Штромейера (1799–1882); Райх
Немецкий химик и физик, иностр. чл.-кор. Петерб. АН с 1854; Магнус
Немецкий химик, Нобелевская премия 1907 г.; Бухнер
Немецкий химик, Нобелевская премия 1963; Циглер
Немецкий химик, ввел термин “таутометрия”; Лаар
Немецкий химик, иностран. чл. АН СССР с 1966; Тиссен
Немецкий химик, сторонник теории флогистона; Крелль
Немецкий химик, чл. АН ГДР с 1965; Лос
Немецкий химик, чл. АН ГДР с 1969; Кейль
Немецкий химик, чл. АН ГДР с 1972; Кельбг
Немецкий химик, чл. АН ГДР с 1975 г.; Войта
Немецкий химик, открыл (1844) ниобий; Розе
Немецкий химик, предложил термин “альдегид” (1803–1873); Либих
Немецкий химик, специалист по защите окружающей среды от промышленных отходов; Ридел
Немецкий химик, чл. АН ГДР; Бобет
Немецкий химик-неорганик и технолог. Нобелевская премия (1918); Габер
Немецкий химик-органик (1818–1884); Кольбе
Немецкий химик-органик (1818–84); Кольбе
Немецкий химик-органик (1829–1896); Кекуле
Немецкий химик-органик (1835–1910); Фиттиг
Немецкий химик-органик (1843–1928); Цинке
Немецкий химик-органик (1868–1930); Пшорр
Немецкий химик-органик (1877–1947); Манних
Немецкий химик-органик (1904–1974); Пихлер
Немецкий химик-органик 19 в., спец. по красителям; Грисс
Немецкий химик-органик и биохимик. Нобелевская премия (1927); Виланд
Немецкий химик-органик и технолог (1812–1885); Фелинг
Немецкий химик-органик, Нобелевская премия (1905); Байер
Немецкий химик-органик, лауреат Нобелевской премии; Дильс
Немецкий химик-органик, президент Нем. хим. об-ва 1915–16; Кнорр
Немецкий химик-органик, иностр. чл.-кор. Петерб. АН с 1913; Энглер
Немецкий химик-органик, президент Нем. хим. об-ва (1909); Витт
Немецкий химик-органик. Нобелевская премия (1902); Фишер
Немецкий химик-органик. Нобелевская премия (1910); Валлах
Немецкий химик-органик. Нобелевская премия (1930); Фишер
Немецкий химик-органик. Нобелевская премия (1950, совместно с Альдером); Дильс
Немецкий химик-органик. Нобелевская премия (1950, совместно с О. Дильсом); Альдер
Немецкий химик-органик. Нобелевская премия (1963, совместно с Дж. Наттой); Циглер
Немецкий химик-органик. Нобелевская премия (1973, совместно с Дж. Уилкинсоном); Фишер
Немецкий химик-органик. Нобелевская премия (1979, совместно с Г. Брауном); Виттиг
Немецкий химик-органик; Арндт
Немецкий химик-технолог (1863–1928); Рашиг
Немецкий химик-технолог. Нобелевская премия (1931, совместно с Ф. Бергиусом); Бош
Немецкий химик; Бекман
Немецкий эмбриолог. Нобелевская премия (1935); Шпеман
Немецкий юрист 19 в.; Иеринг
Немецкий языковед, иностранный член-корреспондент Петербургской АН (1855 год); Потт
Немецкий языковед; Бопп
Немецкий, австрийский дирижер; Караян
Немецкий, австрийский композитор и поэт Эпохи Возрождения; Сакс
Немецкий, австрийский композитор, опера “Альцеста”; Глюк
Немецкий, австрийский композитор, опера “Армида”; Глюк
Немецкий, австрийский композитор, опера “Орфей”; Глюк
Немецкий, австрийский композитор, опера: “Марта”; Флотов
Немецкий, австрийский композитор, фортепианный цикл “Карнавал”; Шуман
Немецкое “das” как служебное слово; артикль
Немецкое имя, ставшее нарицательным во времена Второй мировой войны; Фриц
Немецкое имя; Отто
Немецкое название г. Загреб (город в Европе); Аграм
Немецкое название г. Славков в Чехии. (город в Европе); Аустерлиц
Немилость Кремля, в которую попал Юрий Лужков; опала
Неминуемый конец; каюк
Немка, едва ли не самая знаменитая женщина-вамп. В личной жизни предпочитала мужчин преклонных лет, утверждала, что с ними уютно спать; Марлен
Немного шерсти с паршивой овцы; клок
Немощный, впавший в слабоумие человек; рамоли
Ненавидимый им город, в котором Понтий Пилат вел допрос “разбойника” Га-Ноцри?; Ершалаим
Ненависть, злорадство; злоба
Ненависть, распри; вражда
Ненаглядность на старорусский лад; лепота
Ненадежность; неблагонадежность
Ненаследственное изменение организма, возникающее в результате нарушения действия генов; морфоз
Ненастье с громом и молнией; гроза
Ненастье с сильным разрушительным ветром; буря
Ненасытное брюхо железного коня; бак
Ненасытный, прожорливый человек; обжора
Ненасыщенный ациклический углеводород; ацетилен
Ненасыщенный углеводород (олефин); алкен
Ненец, манси; еран
Ненормативная лексика, при помощи которой некоторые не только ругаются, но и разговаривают; мат
Ненужная рухлядь; хлам
Необожженный кирпич; саман
Необоснованные притязания на величие; спесь
Необразованный человек; неуч
Необходимая вещь при купле-продаже; деньги
Необходимость выбора из двух взаимоисключающих возможностей; альтернатива
Необходимый элемент печи; труба
Необъезженный мотоциклист; рокер
