Coвeтcкaя пoэтecca; Тушнова
Когда возникла оперетта?; в середине девятнадцатого века
Сколько медведей изображено на картине И. Шишкина "Утро в сосновом лесу"?; медведица с тремя медвежатами
Как называется гемма с углубленным изображением?; Инталия
Какая область считается родиной хохломской росписи?; поселок Ковернино в Нижегородской области.
Сколько художников работало под псевдонимом Кукрыниксы?; Трое (КУприянов, КРЫлов, НИКолай Соколов)
Кто в 1813 году был удостоен премии Королевской Академии Художеств в Лондоне за картину "Умирающий Геркулес"?; Морзе
Автор картины "Иван Грозный и его сын Иван"?; Илья Репин (16 ноября 1581 года).
Кого можно увидеть рядом с поэтом Батюшковым на памятнике в Вологде?; коня
Какая фигура венчает Александровскую колонну в Петербурге?; фигура ангела работы Бориса Орловского.
Какое историческое событие изображено на самом большом в мире гобелене длинной 70 метров, который еще называют ковром из Байе?; завоевание Англии Вильгельмом
На картине Яна Ван Эйка «Портрет четы Арнольфини» на дальней стене висит зеркало, в котором отражается…; сам Ван Эйк
Для какой известной картины позировал художнику Николай Васильевич Гоголь?; «Явление Христа народу»
Продукцию какого народного промысла часто называют золотой?; Хохлома
Кто сыграл князя Дракулу в одноимённом фильме в 1958 году; Кристофер Ли
В каком году родился знаменитый актёр Кристофер Ли; 1922
На какой картине НЕ изображены сани?; И.К. Айвазовский «Ледяные горы» .
Что понимают под андеграундом?; понятие возникшее в США, означающее "подпольную культуру"
Назовите автора картины «А.С. Пушкин у Н.В. Гоголя».; М. Клодт
На сюжет какой повести Н.В. Гоголя написана картина И.Н. Крамского «Русалки»?; «Майская ночь».
Как в народе называют монумент «Дружба народов», поставленный в Ижевске на берегу Ижевского пруда?; Лыжи Кулаковой
Кто написал картину «Последний день Помпеи»?; Карл Павлович Брюллов
Кто написал картину «Черный квадрат»?; Казимир Северинович Малевич
Кто написал картину «Утро стрелецкой казни»?; Василий Иванович Суриков
Кто написал картину «На севере диком…»?; Иван Иванович Шишкин
Кто написал картину «Джоконда» («Мона Лиза»)?; Леонардо да Винчи
Кто написал картину «Сикстинская Мадонна»?; Рафаэль Санти
Кто написал картину «Рождение Венеры»?; Сандро Боттичелли
Кто написал картину «Грачи прилетели»?; Алексей Кондратьевич Саврасов
Кто написал картину «Девочка с персиками»?; Валентин Александрович Серов
В.А.Серов написал всем известный портрет В.С.Мамонтовой, как он называется?; Девочка с персиками
Сколько медведей изображено на всем известной картине Шишкина и Савицкого «Утро в сосновом лесу»?; 4
Какой театр является самым большим в мире?; Метрополитен-опера.
Как называлась последняя картина Ван Гога?; Пшеничное поле с воронами
Кого особенно любил рисовать Эдгар Дега?; Балерин
О какой из этих опер Пуччини говорил, как о самом сильном своем опусе?; Девушка с Запада
В какой области творчества прославился австриец Густав Климт?; живопись
Кто считается основоположником сюрреализма?; Андре Бретон
